"external_id","study","sra.study_title","sra.library_layout","sra.platform_model","recount_project.organism","cell_line","sra","study_title","label","geo","attributes","platform","Model","protocol","abstract","sample_title","full_attributes","organism","tag","cell_type","tissue","cell_state","Induction_details","time_after_treatment","genetic_manipulations","cancer_cell_line","immortalised"
"ERR1805218","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","paired","Illumina HiSeq 2500","Homo sapiens","Primary","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","E-MTAB-5403:K1","SAMEA54031918","Experimental Factor: Primary epidermal keratinocytes;;cell type|Experimental Factor: Proliferation;;irradiate","Illumina HiSeq 2500","paired","Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use.  Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent).  Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).","We set out to characterize the transcriptional heterogeneity of the senescence program using a large number of whole-transcriptome sequencing datasets generated by us or publicly available.  We identify a number of senescence transcriptional signatures associated to specific stresses or cell types. We also merge all the studies to identify and validate the genes that are universally differentially regulated during senescence.","Illumina HiSeq 2500 paired end sequencing; Identification of heterogeneous senescence-associated transcriptional programs","Alias;;E-MTAB-5403:K1|Broker name;;ArrayExpress|cell_type;;Primary epidermal keratinocytes|Description;;Protocols: Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use. Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent). Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).|ENA checklist;;ERC000011|INSDC center name;;European Research Institute for the Biology of Ageing, University of Groningen, UMC Groningen, The Netherlands|INSDC first public;;2017-11-22T17:02:48Z|INSDC last update;;2017-01-24T12:47:06Z|INSDC status;;public|organism;;Homo sapiens|Sample Name;;ERS1510157|SRA accession;;ERS1510157|Title;;K1","human","senescence","Keratinocyte","Skin","Proliferating","None",NA,"None","no","no"
"ERR1805219","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","paired","Illumina HiSeq 2500","Homo sapiens","Primary","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","E-MTAB-5403:K13","SAMEA54032668","Experimental Factor: Irradiation, day 4;;irradiate|Experimental Factor: Primary epidermal keratinocytes;;cell type","Illumina HiSeq 2500","paired","Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use.  Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent).  Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).","We set out to characterize the transcriptional heterogeneity of the senescence program using a large number of whole-transcriptome sequencing datasets generated by us or publicly available.  We identify a number of senescence transcriptional signatures associated to specific stresses or cell types. We also merge all the studies to identify and validate the genes that are universally differentially regulated during senescence.","Illumina HiSeq 2500 paired end sequencing; Identification of heterogeneous senescence-associated transcriptional programs","Alias;;E-MTAB-5403:K13|Broker name;;ArrayExpress|cell_type;;Primary epidermal keratinocytes|Description;;Protocols: Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use. Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent). Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).|ENA checklist;;ERC000011|INSDC center name;;European Research Institute for the Biology of Ageing, University of Groningen, UMC Groningen, The Netherlands|INSDC first public;;2017-11-22T17:02:48Z|INSDC last update;;2017-01-24T12:47:06Z|INSDC status;;public|organism;;Homo sapiens|Sample Name;;ERS1510158|SRA accession;;ERS1510158|Title;;K13","human","senescence","Keratinocyte","Skin","Stress-induced CS","10 Gy","4 days","None","no","no"
"ERR1805220","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","paired","Illumina HiSeq 2500","Homo sapiens","Primary","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","E-MTAB-5403:K14","SAMEA54033418","Experimental Factor: Irradiation, day 4;;irradiate|Experimental Factor: Primary epidermal keratinocytes;;cell type","Illumina HiSeq 2500","paired","Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use.  Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent).  Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).","We set out to characterize the transcriptional heterogeneity of the senescence program using a large number of whole-transcriptome sequencing datasets generated by us or publicly available.  We identify a number of senescence transcriptional signatures associated to specific stresses or cell types. We also merge all the studies to identify and validate the genes that are universally differentially regulated during senescence.","Illumina HiSeq 2500 paired end sequencing; Identification of heterogeneous senescence-associated transcriptional programs","alias;;E-MTAB-5403:K14|broker name;;ArrayExpress|cell type;;Primary epidermal keratinocytes|ENA checklist;;ERC000011|INSDC center name;;European Research Institute for the Biology of Ageing, University of Groningen, UMC Groningen, The Netherlands|INSDC first public;;2017-11-22T17:02:48Z|INSDC last update;;2017-01-24T12:47:06Z|INSDC status;;public|organism;;Homo sapiens|Sample Name;;ERS1510159|SRA accession;;ERS1510159|title;;K14","human","senescence","Keratinocyte","Skin","Stress-induced CS","10 Gy","4 days","None","no","no"
"ERR1805221","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","paired","Illumina HiSeq 2500","Homo sapiens","Primary","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","E-MTAB-5403:K15","SAMEA54034168","Experimental Factor: Irradiation, day 4;;irradiate|Experimental Factor: Primary epidermal keratinocytes;;cell type","Illumina HiSeq 2500","paired","Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use.  Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent).  Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).","We set out to characterize the transcriptional heterogeneity of the senescence program using a large number of whole-transcriptome sequencing datasets generated by us or publicly available.  We identify a number of senescence transcriptional signatures associated to specific stresses or cell types. We also merge all the studies to identify and validate the genes that are universally differentially regulated during senescence.","Illumina HiSeq 2500 paired end sequencing; Identification of heterogeneous senescence-associated transcriptional programs","Alias;;E-MTAB-5403:K15|Broker name;;ArrayExpress|cell_type;;Primary epidermal keratinocytes|Description;;Protocols: Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use. Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent). Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).|ENA checklist;;ERC000011|INSDC center name;;European Research Institute for the Biology of Ageing, University of Groningen, UMC Groningen, The Netherlands|INSDC first public;;2017-11-22T17:02:48Z|INSDC last update;;2017-01-24T12:47:06Z|INSDC status;;public|organism;;Homo sapiens|Sample Name;;ERS1510160|SRA accession;;ERS1510160|Title;;K15","human","senescence","Keratinocyte","Skin","Stress-induced CS","10 Gy","4 days","None","no","no"
"ERR1805222","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","paired","Illumina HiSeq 2500","Homo sapiens","Primary","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","E-MTAB-5403:K16","SAMEA54034918","Experimental Factor: Irradiation, day 4;;irradiate|Experimental Factor: Primary epidermal keratinocytes;;cell type","Illumina HiSeq 2500","paired","Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use.  Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent).  Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).","We set out to characterize the transcriptional heterogeneity of the senescence program using a large number of whole-transcriptome sequencing datasets generated by us or publicly available.  We identify a number of senescence transcriptional signatures associated to specific stresses or cell types. We also merge all the studies to identify and validate the genes that are universally differentially regulated during senescence.","Illumina HiSeq 2500 paired end sequencing; Identification of heterogeneous senescence-associated transcriptional programs","Alias;;E-MTAB-5403:K16|Broker name;;ArrayExpress|cell_type;;Primary epidermal keratinocytes|Description;;Protocols: Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use. Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent). Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).|ENA checklist;;ERC000011|INSDC center name;;European Research Institute for the Biology of Ageing, University of Groningen, UMC Groningen, The Netherlands|INSDC first public;;2017-11-22T17:02:48Z|INSDC last update;;2017-01-24T12:47:06Z|INSDC status;;public|organism;;Homo sapiens|Sample Name;;ERS1510161|SRA accession;;ERS1510161|Title;;K16","human","senescence","Keratinocyte","Skin","Stress-induced CS","10 Gy","4 days","None","no","no"
"ERR1805223","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","paired","Illumina HiSeq 2500","Homo sapiens","Primary","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","E-MTAB-5403:K17","SAMEA54035668","Experimental Factor: Irradiation, day 4;;irradiate|Experimental Factor: Primary epidermal keratinocytes;;cell type","Illumina HiSeq 2500","paired","Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use.  Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent).  Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).","We set out to characterize the transcriptional heterogeneity of the senescence program using a large number of whole-transcriptome sequencing datasets generated by us or publicly available.  We identify a number of senescence transcriptional signatures associated to specific stresses or cell types. We also merge all the studies to identify and validate the genes that are universally differentially regulated during senescence.","Illumina HiSeq 2500 paired end sequencing; Identification of heterogeneous senescence-associated transcriptional programs","alias;;E-MTAB-5403:K17|broker name;;ArrayExpress|cell type;;Primary epidermal keratinocytes|ENA checklist;;ERC000011|INSDC center name;;European Research Institute for the Biology of Ageing, University of Groningen, UMC Groningen, The Netherlands|INSDC first public;;2017-11-22T17:02:48Z|INSDC last update;;2017-01-24T12:47:06Z|INSDC status;;public|organism;;Homo sapiens|Sample Name;;ERS1510162|SRA accession;;ERS1510162|title;;K17","human","senescence","Keratinocyte","Skin","Stress-induced CS","10 Gy","4 days","None","no","no"
"ERR1805224","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","paired","Illumina HiSeq 2500","Homo sapiens","Primary","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","E-MTAB-5403:K18","SAMEA54036418","Experimental Factor: Irradiation, day 4;;irradiate|Experimental Factor: Primary epidermal keratinocytes;;cell type","Illumina HiSeq 2500","paired","Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use.  Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent).  Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).","We set out to characterize the transcriptional heterogeneity of the senescence program using a large number of whole-transcriptome sequencing datasets generated by us or publicly available.  We identify a number of senescence transcriptional signatures associated to specific stresses or cell types. We also merge all the studies to identify and validate the genes that are universally differentially regulated during senescence.","Illumina HiSeq 2500 paired end sequencing; Identification of heterogeneous senescence-associated transcriptional programs","alias;;E-MTAB-5403:K18|broker name;;ArrayExpress|cell type;;Primary epidermal keratinocytes|ENA checklist;;ERC000011|INSDC center name;;European Research Institute for the Biology of Ageing, University of Groningen, UMC Groningen, The Netherlands|INSDC first public;;2017-11-22T17:02:48Z|INSDC last update;;2017-01-24T12:47:06Z|INSDC status;;public|organism;;Homo sapiens|Sample Name;;ERS1510163|SRA accession;;ERS1510163|title;;K18","human","senescence","Keratinocyte","Skin","Stress-induced CS","10 Gy","4 days","None","no","no"
"ERR1805225","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","paired","Illumina HiSeq 2500","Homo sapiens","Primary","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","E-MTAB-5403:K19","SAMEA54037168","Experimental Factor: Irradiation, day 10;;irradiate|Experimental Factor: Primary epidermal keratinocytes;;cell type","Illumina HiSeq 2500","paired","Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use.  Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent).  Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).","We set out to characterize the transcriptional heterogeneity of the senescence program using a large number of whole-transcriptome sequencing datasets generated by us or publicly available.  We identify a number of senescence transcriptional signatures associated to specific stresses or cell types. We also merge all the studies to identify and validate the genes that are universally differentially regulated during senescence.","Illumina HiSeq 2500 paired end sequencing; Identification of heterogeneous senescence-associated transcriptional programs","Alias;;E-MTAB-5403:K19|Broker name;;ArrayExpress|cell_type;;Primary epidermal keratinocytes|Description;;Protocols: Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use. Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent). Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).|ENA checklist;;ERC000011|INSDC center name;;European Research Institute for the Biology of Ageing, University of Groningen, UMC Groningen, The Netherlands|INSDC first public;;2017-11-22T17:02:48Z|INSDC last update;;2017-01-24T12:47:06Z|INSDC status;;public|organism;;Homo sapiens|Sample Name;;ERS1510164|SRA accession;;ERS1510164|Title;;K19","human","senescence","Keratinocyte","Skin","Stress-induced CS","10 Gy","10 days","None","no","no"
"ERR1805226","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","paired","Illumina HiSeq 2500","Homo sapiens","Primary","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","E-MTAB-5403:K2","SAMEA54037918","Experimental Factor: Primary epidermal keratinocytes;;cell type|Experimental Factor: Proliferation;;irradiate","Illumina HiSeq 2500","paired","Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use.  Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent).  Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).","We set out to characterize the transcriptional heterogeneity of the senescence program using a large number of whole-transcriptome sequencing datasets generated by us or publicly available.  We identify a number of senescence transcriptional signatures associated to specific stresses or cell types. We also merge all the studies to identify and validate the genes that are universally differentially regulated during senescence.","Illumina HiSeq 2500 paired end sequencing; Identification of heterogeneous senescence-associated transcriptional programs","alias;;E-MTAB-5403:K2|broker name;;ArrayExpress|cell type;;Primary epidermal keratinocytes|ENA checklist;;ERC000011|INSDC center name;;European Research Institute for the Biology of Ageing, University of Groningen, UMC Groningen, The Netherlands|INSDC first public;;2017-11-22T17:02:48Z|INSDC last update;;2017-01-24T12:47:06Z|INSDC status;;public|organism;;Homo sapiens|Sample Name;;ERS1510165|SRA accession;;ERS1510165|title;;K2","human","senescence","Keratinocyte","Skin","Proliferating","None",NA,"None","no","no"
"ERR1805227","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","paired","Illumina HiSeq 2500","Homo sapiens","Primary","ERP021140","Identification of heterogeneous senescence-associated transcriptional programs","E-MTAB-5403:K20","SAMEA54038668","Experimental Factor: Irradiation, day 10;;irradiate|Experimental Factor: Primary epidermal keratinocytes;;cell type","Illumina HiSeq 2500","paired","Human foreskin fibroblasts HCA2 were obtained from O. Pereira-Smith (University of Texas Health Science Center, San Antonio); human foreskin fibroblasts BJ were purchased from ATCC (Cat: CRL-2522); MEFs were produced from 13.5 day embryos as previously described (Demaria 2010); mouse primary skin microvascular endothelial cells were purchased from Cellbiologics (Cat: C57-6064). All cells were cultured in 5% oxygen for at least 4 doublings prior to use.  Fibroblasts were cultured in DMEM (Thermo Fisher Scientific) enriched with 10% fetal bovine serum (FBS, GE Healthcare Life Sciences) and 1% penicillin/streptomycin (Lonza). Endothelial cells were grown in an endothelial cell growth media (ATCC). Cells were prepared for RNA extraction via an RNAeasy mini kit (Invitrogen). Samples were treated with Qiasol lysis buffer and extracted for total RNA on a Qiacube robot per the manufacturer's instructions (Invitrogen). The extracted RNA was quantitated using a NanoDrop and RNA quality was measured via BioAnalyzer chip (Agilent).  Purified RNA samples were then sent to the University of Minnesota BioMedical Genomics Center for Illumina HiSeq RNA sequencing, where RNA-Seq library preparation was carried out according to the manufactuers protocols (Illumina).","We set out to characterize the transcriptional heterogeneity of the senescence program using a large number of whole-transcriptome sequencing datasets generated by us or publicly available.  We identify a number of senescence transcriptional signatures associated to specific stresses or cell types. We also merge all the studies to identify and validate the genes that are universally differentially regulated during senescence.","Illumina HiSeq 2500 paired end sequencing; Identification of heterogeneous senescence-associated transcriptional programs","alias;;E-MTAB-5403:K20|broker name;;ArrayExpress|cell type;;Primary epidermal keratinocytes|ENA checklist;;ERC000011|INSDC center name;;European Research Institute for the Biology of Ageing, University of Groningen, UMC Groningen, The Netherlands|INSDC first public;;2017-11-22T17:02:48Z|INSDC last update;;2017-01-24T12:47:06Z|INSDC status;;public|organism;;Homo sapiens|Sample Name;;ERS1510166|SRA accession;;ERS1510166|title;;K20","human","senescence","Keratinocyte","Skin","Stress-induced CS","10 Gy","10 days","None","no","no"
