"external_gene_name","entrezgene_id"
"MT-ND1",4535
"MT-ND2",4536
"MT-CO1",4512
"MT-CO2",4513
"MT-ATP8",4509
"MT-ATP6",4508
"MT-CO3",4514
"MT-ND3",4537
"MT-ND4L",4539
"MT-ND4",4538
"MT-ND5",4540
"MT-ND6",4541
"MT-CYB",4519
"SERTAD4",56256
"PADI1",29943
"RCC2",55920
"VSTM1",284415
"AC011043.1",389831
"NLRP2",55655
"NLRP7",199713
"TFPT",29844
"AC171558.1",102723532
"TARM1",441864
"TSEN34",79042
"AC026740.3",653082
"CNOT3",4849
"RPS6KA1",6195
"MBOAT7",79143
"RPS9",6203
"AC007325.4",102724770
"CHRFAM7A",89832
"PADI4",23569
"AC011476.9",9437
"OSCAR",126014
"AC011476.4",9437
"ZKSCAN7",55888
"AC012314.14",147798
"TJP1",7082
"ZNF852",285346
"RDH13",112724
"SLC16A1",6566
"GSTT2B",653689
"AC023491.2",101929738
"AC023491.2",102724151
"RYBP",23429
"UBE2Q2L",100505679
"LENG1",79165
"NDUFA3",4696
"AC012314.13",26121
"GOLGA8J",653073
"AC012314.16",26121
"AC004556.3",107987373
"AC012314.3",26121
"PADI6",353238
"AC012314.6",26121
"PADI3",51702
"GP6",51206
"GPX5",2880
"KLF13",51621
"INPP5D",3635
"AC012314.18",147798
"AC011476.6",9437
"SCG5",6447
"AC012314.7",147798
"OBP2B",29989
"FAN1",22909
"WNT3",7473
"AC240274.1",102724250
"CRHR1",1394
"CRHR1",104909134
"GPX6",257202
"AC012314.17",147798
"ZNF883",169834
"ARHGAP11A",9824
"AC011476.5",9437
"AC233755.1",102723407
"AC012314.8",26121
"BX072566.1",100288966
"TRPM1",4308
"ZNF445",353274
"AC012314.10",147798
"AC244489.3",101059938
"AC012314.15",26121
"AC133551.1",102723655
"MTMR10",54893
"AC136352.4",102723502
"ACTL10",170487
"AC012314.5",147798
"AC007325.2",102724788
"GREM1",26585
"AC011476.11",9437
"AC011476.10",9437
"AC243734.1",1139
"AC012314.4",26121
"ARHGAP11B",89839
"AC136612.1",102723713
"AC012314.12",26121
"STAT5B",6777
"PASD1",139135
"KIF7",374654
"ZBTB22",9278
"PHLDA3",23612
"RNF5",6048
"SDHAF4",135154
"AXIN1",8312
"ONECUT3",390874
"ANXA2R",389289
"TICRR",90381
"ZNF131",7690
"TUBB",203068
"PRRG3",79057
"HLA-C",3107
"MEP1A",4224
"ZFP57",346171
"DAXX",1616
"DAXX",113523636
"TRIM31",11074
"CCNH",902
"TADA2A",6871
"CELF5",60680
"TRIM15",89870
"TRIM40",135644
"CD46",4179
"TTC27",55622
"PRIM2",5558
"MAN2A2",4122
"TFF3",7033
"BMP5",653
"DENND4B",9909
"RPL29",6159
"LHFPL1",340596
"MAP2K2",5605
"FATE1",89885
"TFF2",7032
"GATAD2B",57459
"TRIM10",10107
"CPO",130749
