"Official.Gene.symbol","Biological.Function","Group","func"
"CTSB","endolysosome lumen","lysosome","lyso"
"CTSK","endolysosome lumen","lysosome","lyso"
"CTSS","endolysosome lumen","lysosome","lyso"
"PPT1","late endosomes/lysosomes ","lysosome","lyso"
"ASAH1","lysosomal lumen","lysosome","lyso"
"CD1E","lysosomal lumen","lysosome","lyso"
"GALNS","lysosomal lumen","lysosome","lyso"
"GLB1","lysosomal lumen","lysosome","lyso"
"GM2A","lysosomal lumen","lysosome","lyso"
"GNS","lysosomal lumen","lysosome","lyso"
"GUSB","lysosomal lumen","lysosome","lyso"
"HEXA","lysosomal lumen","lysosome","lyso"
"HEXB","lysosomal lumen","lysosome","lyso"
"IDS","lysosomal lumen","lysosome","lyso"
"LGMN","lysosomal lumen","lysosome","lyso"
"PLBD2","lysosomal lumen","lysosome","lyso"
"SGSH","lysosomal lumen","lysosome","lyso"
"SMPD1","lysosomal lumen","lysosome","lyso"
"ABCA2","lysosomal membrane","lysosome","lyso"
"ABCA5","lysosomal membrane","lysosome","lyso"
"ABCB9","lysosomal membrane","lysosome","lyso"
"AP1G1","lysosomal membrane","lysosome","lyso"
"AP3B1","lysosomal membrane","lysosome","lyso"
"ARL8A","lysosomal membrane","lysosome","lyso"
"ARL8B","lysosomal membrane","lysosome","lyso"
"ATP13A2","lysosomal membrane","lysosome","lyso"
"ATP6V0A2","lysosomal membrane","lysosome","lyso"
"ATP6V0A4","lysosomal membrane","lysosome","lyso"
"ATP6V0C","lysosomal membrane","lysosome","lyso"
"ATP6V0D1","lysosomal membrane","lysosome","lyso"
"CCZ1","lysosomal membrane","lysosome","lyso"
"CD1B","lysosomal membrane","lysosome","lyso"
"CD68","lysosomal membrane","lysosome","lyso"
"CLCN5","lysosomal membrane","lysosome","lyso"
"CLCN6","lysosomal membrane","lysosome","lyso"
"CLCN7","lysosomal membrane","lysosome","lyso"
"CLN5","lysosomal membrane","lysosome","lyso"
"CTNS","lysosomal membrane","lysosome","lyso"
"DAB2","lysosomal membrane","lysosome","lyso"
"DNAJC5","lysosomal membrane","lysosome","lyso"
"DRAM1","lysosomal membrane","lysosome","lyso"
"EGF","lysosomal membrane","lysosome","lyso"
"GAA","lysosomal membrane","lysosome","lyso"
"GBA","lysosomal membrane","lysosome","lyso"
"GPR137B","lysosomal membrane","lysosome","lyso"
"HGSNAT","lysosomal membrane","lysosome","lyso"
"LAMP2","lysosomal membrane","lysosome","lyso"
"LAMP3","lysosomal membrane","lysosome","lyso"
"LITAF","lysosomal membrane","lysosome","lyso"
"LMBRD1","lysosomal membrane","lysosome","lyso"
"MCOLN1","lysosomal membrane","lysosome","lyso"
"MFSD8","lysosomal membrane","lysosome","lyso"
"MYO7A","lysosomal membrane","lysosome","lyso"
"NCSTN","lysosomal membrane","lysosome","lyso"
"NPC1","lysosomal membrane","lysosome","lyso"
"PI4K2A","lysosomal membrane","lysosome","lyso"
"PLD1","lysosomal membrane","lysosome","lyso"
"PSEN1","lysosomal membrane","lysosome","lyso"
"RAB14","lysosomal membrane","lysosome","lyso"
"RAB5C","lysosomal membrane","lysosome","lyso"
"RILP","lysosomal membrane","lysosome","lyso"
"RNF13","lysosomal membrane","lysosome","lyso"
"SCARB2","lysosomal membrane","lysosome","lyso"
"SIDT2","lysosomal membrane","lysosome","lyso"
"SLC11A2","lysosomal membrane","lysosome","lyso"
"SLC15A3","lysosomal membrane","lysosome","lyso"
"SLC17A5","lysosomal membrane","lysosome","lyso"
