external_id,study,series,geo,condition,cell_line_curated,cell_line_resolved,line_token_sample,title,immortalised_curated,immortalised_VERIFIED,CHANGED_vs_curated,immortalisation_term_in_sample_record,matched_term,sample_record_agrees,evidence_level,tissue,characteristics
SRR627536,SRP017378,"GSE42509,GSE45833",GSM1041191,Proliferating,BJ hTERT,BJ-hTERT,BJ cells,C1.rna,no,yes,YES,True,Immortalized,yes,GEO per-sample record,Foreskin,"cell line: BJ cells | condition: Proliferation, normal conditions"
SRR627537,SRP017378,"GSE42509,GSE45833",GSM1041192,Proliferating,BJ hTERT,BJ-hTERT,BJ cells,C2.rna,no,yes,YES,True,Immortalized,yes,GEO per-sample record,Foreskin,"cell line: BJ cells | condition: Proliferation, normal conditions"
SRR627538,SRP017378,"GSE42509,GSE45833",GSM1041193,Serum_starved CQ,BJ hTERT,BJ-hTERT,BJ cells,Q1.rna,no,yes,YES,True,Immortalized,yes,GEO per-sample record,Foreskin,cell line: BJ cells | condition: Quiescence induced by serum depletion
SRR627539,SRP017378,"GSE42509,GSE45833",GSM1041194,Serum_starved CQ,BJ hTERT,BJ-hTERT,BJ cells,Q2.rna,no,yes,YES,True,Immortalized,yes,GEO per-sample record,Foreskin,cell line: BJ cells | condition: Quiescence induced by serum depletion
SRR627542,SRP017378,"GSE42509,GSE45833",GSM1041197,Proliferating,BJ hTERT,BJ-hTERT,BJ cells,C3.rna,no,yes,YES,True,Immortalized,yes,GEO per-sample record,Foreskin,"cell line: BJ cells | condition: Proliferation, normal conditions"
SRR2970373,SRP066917,GSE75627,GSM1960706,Proliferating,BJ,BJ-hTERT,hTERT-immortalized BJ cells,BJ control,yes,yes,,True,hTERT,yes,GEO per-sample record,Foreskin,cell type: hTERT-immortalized BJ cells | ras activation: No | genetic manipulation: None
SRR2970374,SRP066917,GSE75627,GSM1960707,Oncogene-induced CS,BJ,BJ-hTERT,hTERT-immortalized BJ cells,BJ RASG12V,yes,yes,,True,hTERT,yes,GEO per-sample record,Foreskin,cell type: hTERT-immortalized BJ cells | ras activation: Yes | genetic manipulation: None
SRR2970377,SRP066917,GSE75627,GSM1960710,Oncogene-induced CS,BJ,BJ-hTERT,hTERT-immortalized BJ cells,BJ RASG12V + control CRISPR sgRNA,yes,yes,,True,hTERT,yes,GEO per-sample record,Foreskin,cell type: hTERT-immortalized BJ cells | ras activation: Yes | genetic manipulation: control CRISPR-Cas9 sgRNA
SRR2970873,SRP066947,"GSE75643,GSE76605",GSM1961158,Proliferating,TIG-3,Tig3ET,Tig3,Cycling Day 4 Rep 1,no,yes,YES,True,hTERT,yes,GEO per-sample record,Lung,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 4 | transduced with: empty vector (cycling) | time point: 4days after transduction
SRR2970874,SRP066947,"GSE75643,GSE76605",GSM1961159,Oncogene-induced CS,TIG-3,Tig3ET,Tig3,BRAF OIS Day 4 Rep 1,no,yes,YES,True,hTERT,yes,GEO per-sample record,Lung,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 4 | transduced with: pBabe-puro-BRAFE600 (OIS) | time point: 4days after transduction
SRR2970876,SRP066947,"GSE75643,GSE76605",GSM1961161,Proliferating,TIG-3,Tig3ET,Tig3,Cycling Day 10 Rep 1,no,yes,YES,True,hTERT,yes,GEO per-sample record,Lung,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | transduced with: empty vector (cycling) | time point: 10days after transduction
