study,GSE,n_samples,geo_first_sample,cell_line_curated,cell_line_resolved,recount3_source_name,immortalised_curated,immortalised_VERIFIED,CHANGED,conditions,tissue,geo_quote,evidence_basis
SRP017378,"GSE42509,GSE45833",5,GSM1041191,BJ hTERT,BJ-hTERT,Immortalized primary fibroblasts,no,yes,YES,"Proliferating=3, Serum_starved CQ=2",Foreskin,"date = May 15 2019 !Sample_type = SRA !Sample_channel_count = 1 !Sample_source_name_ch1 = Immortalized primary fibroblasts !Sample_organism_ch1 = Homo sapien || teristics_ch1 = condition: Proliferation, normal conditions !Sample_growth_protocol_ch1 = Immortalized human BJ primary fibroblast cells (by hTERT expression",Sample_growth_protocol: 'Immortalized human BJ primary fibroblast cells (by hTERT expression)'
SRP066917,GSE75627,3,GSM1960706,BJ,BJ-hTERT,hTERT-immortalized BJ cells,yes,yes,,"Oncogene-induced CS=2, Proliferating=1",Foreskin,date = May 15 2019 !Sample_type = SRA !Sample_channel_count = 1 !Sample_source_name_ch1 = hTERT-immortalized BJ cells !Sample_organism_ch1 = Homo sapi || May 15 2019 !Sample_type = SRA !Sample_channel_count = 1 !Sample_source_name_ch1 = hTERT-immortalized BJ cells !Sample_organism_ch1 = Homo sapiens !Sample_t,Sample_characteristics: 'cell type: hTERT-immortalized BJ cells'
SRP066947,"GSE75643,GSE76605",18,GSM1961158,TIG-3,Tig3ET,Cycling Day 4,no,yes,YES,"Proliferating=9, Oncogene-induced CS=6, Serum_starved CQ=3",Lung,"ent_protocol_ch1 = Human diploid fibroblast Tig3 cells expressing the ecotropic receptor, hTERT, and the (pBabe-hygro) empty vector, were transduced w","Sample_treatment_protocol: 'Human diploid fibroblast Tig3 cells expressing the ecotropic receptor, hTERT'; Genome Res 27:1634 calls it 'hTERT-immortalized Tig3 fibroblasts (Tig3ET)'"
SRP089801,GSE86867,6,GSM2309729,Primary,HCA2-hTERT,Human primary fibroblasts,yes,yes,,"Contact_inhibited CQ=3, Proliferating=3",Skin,ch1 = Homo sapiens !Sample_taxid_ch1 = 9606 !Sample_characteristics_ch1 = cell type: HCA2-hTert !Sample_characteristics_ch1 = tissue: primary fibrobla,Sample_characteristics: 'cell type: HCA2-hTert'
SRP123346,GSE106414,3,GSM2837350,BJ,BJ-hTERT,Immortalized primary fibroblasts,no/yes,yes,YES,"Oncogene-induced CS=2, Proliferating=1",Foreskin,date = May 15 2019 !Sample_type = SRA !Sample_channel_count = 1 !Sample_source_name_ch1 = Immortalized primary fibroblasts !Sample_organism_ch1 = Homo sapien || eatment_protocol_ch1 = cells treated with 4-OHT for 14 days !Sample_growth_protocol_ch1 = Immortalized human BJ primary fibroblast cells (by hTERT expression,Sample_growth_protocol: 'Immortalized human BJ primary fibroblast cells (by hTERT expression)'
SRP127037,GSE108278,6,GSM2894511,IMR-90,IMR90-hTERT,IMR90 hTERT,yes,yes,,"Oncogene-induced CS=4, Proliferating=2",Lung,Apr 16 2019 !Sample_type = SRA !Sample_channel_count = 1 !Sample_source_name_ch1 = IMR90 hTERT !Sample_organism_ch1 = Homo sapiens !Sample_taxid_ch1 || h1 = Homo sapiens !Sample_taxid_ch1 = 9606 !Sample_characteristics_ch1 = cell line: IMR90 hTERT !Sample_characteristics_ch1 = cell type: lung fibrobla,Sample_characteristics: 'cell line: IMR90 hTERT'
SRP136727,GSE112458,1,GSM3070415,BJ,BJ-hTERT,Immortalized primary fibroblasts,no,yes,YES,Oncogene-induced CS=1,Foreskin,date = Jul 15 2018 !Sample_type = SRA !Sample_channel_count = 1 !Sample_source_name_ch1 = Immortalized primary fibroblasts !Sample_organism_ch1 = Homo sapien || eatment_protocol_ch1 = cells treated with 4-OHT for 14 days !Sample_growth_protocol_ch1 = Immortalized human BJ primary fibroblast cells (by hTERT expression,Sample_growth_protocol: 'Immortalized human BJ primary fibroblast cells (by hTERT expression)'
SRP172671,GSE123380,4,GSM3502427,BJ,BJ-hTERT,BJ RNA-seq,yes,yes,,"Proliferating=2, Oncogene-induced CS=2",Foreskin,nism_ch1 = Homo sapiens !Sample_taxid_ch1 = 9606 !Sample_characteristics_ch1 = cell type: Immortalized BJ-hTERT cells !Sample_molecule_ch1 = total RNA !Sampl || sapiens !Sample_taxid_ch1 = 9606 !Sample_characteristics_ch1 = cell type: Immortalized BJ-hTERT cells !Sample_molecule_ch1 = total RNA !Sample_extract,Sample_characteristics: 'cell type: Immortalized BJ-hTERT cells'
ERP021140,,30,SAMEA54022168,Primary,HCA2/BJ (primary),,no,no,,"Stress-induced CS=18, Serum_starved CQ=6, Proliferating=6",Foreskin,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP017142,"GSE42212,GSE42213",6,GSM1035443,WI-38,WI-38,Proliferatives_RNAseq,no,no,,"Proliferating=3, Oncogene-induced CS=3",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
