external_id,study,sra.study_title,sra.library_layout,sra.platform_model,recount_project.organism,study.1,sra.study_title.1,sra.library_layout.1,sra.platform_model.1,recount_project.organism.1,cell_line,cell_line_assubmitted,sra,study_title,abstract,sample_title,platform,full_attributes,attributes,geo,label,cell_state,cell_substate,Induction_details,time_after_treatment,genetic_manipulations,immortalised,cell_type,tissue,cancer_cell_line,cq_test,immortalisation_evidence
SRR2095296,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,paired,NextSeq 500,Homo sapiens,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,paired,NextSeq 500,Homo sapiens,IMR90,IMR-90,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,"Oncogene-induced senescence (OIS) is a tumor suppression mechanism that blocks cell proliferation in response to oncogenic signalling. OIS is frequently accompanied by multinucleation; however, the origin of this is unknown. Here we show that multinucleate OIS cells originated mostly from failed mitosis. Prior to senescence, mutant RasV12 activation in primary human fibroblasts compromised mitosis, associated with abnormal expression of mitotic genes that enter M-phase.  Simultaneously, RasV12 activation enhanced survival of damaged mitoses, culminating in extended mitotic arrest and aberrant exit from mitosis via mitotic slippage. ERK-dependent transcriptional up-regulation of Mcl1 was responsible for enhanced slippage of cells with mitotic defects and subsequent cell survival. Importantly, mitotic slippage and oncogene signalling synergistically induced senescence and key senescence regulators p21 and p16. We propose that activated Ras induces transcriptional changes that predispose cells undergoing OIS to mitotic stress and multinucleation. Overall design: We used RNA-seq of IMR90 cells with inducible expression of oncogenic RasV12 that were synchronised in mitosis, to characterise the nature of mitotic defects that lead to multinucleation of oncogene-induced senescent cells",GSM1816172: DD1_ERRAS_uninduced; Homo sapiens; RNA-Seq,NextSeq 500,cell line;;IMR90|source_name;;Fibroblasts,GEO Accession;;GSM1816172,GSM1816172,DD1_ERRAS_uninduced,Proliferating,Proliferating,,,HRASG12V,no,Fibroblast,Lung,no,Proliferating,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2095297,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,paired,NextSeq 500,Homo sapiens,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,paired,NextSeq 500,Homo sapiens,IMR90,IMR-90,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,"Oncogene-induced senescence (OIS) is a tumor suppression mechanism that blocks cell proliferation in response to oncogenic signalling. OIS is frequently accompanied by multinucleation; however, the origin of this is unknown. Here we show that multinucleate OIS cells originated mostly from failed mitosis. Prior to senescence, mutant RasV12 activation in primary human fibroblasts compromised mitosis, associated with abnormal expression of mitotic genes that enter M-phase.  Simultaneously, RasV12 activation enhanced survival of damaged mitoses, culminating in extended mitotic arrest and aberrant exit from mitosis via mitotic slippage. ERK-dependent transcriptional up-regulation of Mcl1 was responsible for enhanced slippage of cells with mitotic defects and subsequent cell survival. Importantly, mitotic slippage and oncogene signalling synergistically induced senescence and key senescence regulators p21 and p16. We propose that activated Ras induces transcriptional changes that predispose cells undergoing OIS to mitotic stress and multinucleation. Overall design: We used RNA-seq of IMR90 cells with inducible expression of oncogenic RasV12 that were synchronised in mitosis, to characterise the nature of mitotic defects that lead to multinucleation of oncogene-induced senescent cells",GSM1816173: DD2_ERRAS_uninduced; Homo sapiens; RNA-Seq,NextSeq 500,cell line;;IMR90|source_name;;Fibroblasts,GEO Accession;;GSM1816173,GSM1816173,DD2_ERRAS_uninduced,Proliferating,Proliferating,,,HRASG12V,no,Fibroblast,Lung,no,Proliferating,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2095298,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,paired,NextSeq 500,Homo sapiens,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,paired,NextSeq 500,Homo sapiens,IMR90,IMR-90,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,"Oncogene-induced senescence (OIS) is a tumor suppression mechanism that blocks cell proliferation in response to oncogenic signalling. OIS is frequently accompanied by multinucleation; however, the origin of this is unknown. Here we show that multinucleate OIS cells originated mostly from failed mitosis. Prior to senescence, mutant RasV12 activation in primary human fibroblasts compromised mitosis, associated with abnormal expression of mitotic genes that enter M-phase.  Simultaneously, RasV12 activation enhanced survival of damaged mitoses, culminating in extended mitotic arrest and aberrant exit from mitosis via mitotic slippage. ERK-dependent transcriptional up-regulation of Mcl1 was responsible for enhanced slippage of cells with mitotic defects and subsequent cell survival. Importantly, mitotic slippage and oncogene signalling synergistically induced senescence and key senescence regulators p21 and p16. We propose that activated Ras induces transcriptional changes that predispose cells undergoing OIS to mitotic stress and multinucleation. Overall design: We used RNA-seq of IMR90 cells with inducible expression of oncogenic RasV12 that were synchronised in mitosis, to characterise the nature of mitotic defects that lead to multinucleation of oncogene-induced senescent cells",GSM1816174: DD3_ERRAS_uninduced; Homo sapiens; RNA-Seq,NextSeq 500,cell line;;IMR90|source_name;;Fibroblasts,GEO Accession;;GSM1816174,GSM1816174,DD3_ERRAS_uninduced,Proliferating,Proliferating,,,HRASG12V,no,Fibroblast,Lung,no,Proliferating,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2095299,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,paired,NextSeq 500,Homo sapiens,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,paired,NextSeq 500,Homo sapiens,IMR90,IMR-90,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,"Oncogene-induced senescence (OIS) is a tumor suppression mechanism that blocks cell proliferation in response to oncogenic signalling. OIS is frequently accompanied by multinucleation; however, the origin of this is unknown. Here we show that multinucleate OIS cells originated mostly from failed mitosis. Prior to senescence, mutant RasV12 activation in primary human fibroblasts compromised mitosis, associated with abnormal expression of mitotic genes that enter M-phase.  Simultaneously, RasV12 activation enhanced survival of damaged mitoses, culminating in extended mitotic arrest and aberrant exit from mitosis via mitotic slippage. ERK-dependent transcriptional up-regulation of Mcl1 was responsible for enhanced slippage of cells with mitotic defects and subsequent cell survival. Importantly, mitotic slippage and oncogene signalling synergistically induced senescence and key senescence regulators p21 and p16. We propose that activated Ras induces transcriptional changes that predispose cells undergoing OIS to mitotic stress and multinucleation. Overall design: We used RNA-seq of IMR90 cells with inducible expression of oncogenic RasV12 that were synchronised in mitosis, to characterise the nature of mitotic defects that lead to multinucleation of oncogene-induced senescent cells",GSM1816175: DD4_ERRAS_4days-induced; Homo sapiens; RNA-Seq,NextSeq 500,cell line;;IMR90|source_name;;Fibroblasts,GEO Accession;;GSM1816175,GSM1816175,DD4_ERRAS_4days-induced,CS,Oncogene-induced CS,Tamoxifen,4 days,HRASG12V,no,Fibroblast,Lung,no,Oncogene-induced CS,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2095300,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,paired,NextSeq 500,Homo sapiens,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,paired,NextSeq 500,Homo sapiens,IMR90,IMR-90,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,"Oncogene-induced senescence (OIS) is a tumor suppression mechanism that blocks cell proliferation in response to oncogenic signalling. OIS is frequently accompanied by multinucleation; however, the origin of this is unknown. Here we show that multinucleate OIS cells originated mostly from failed mitosis. Prior to senescence, mutant RasV12 activation in primary human fibroblasts compromised mitosis, associated with abnormal expression of mitotic genes that enter M-phase.  Simultaneously, RasV12 activation enhanced survival of damaged mitoses, culminating in extended mitotic arrest and aberrant exit from mitosis via mitotic slippage. ERK-dependent transcriptional up-regulation of Mcl1 was responsible for enhanced slippage of cells with mitotic defects and subsequent cell survival. Importantly, mitotic slippage and oncogene signalling synergistically induced senescence and key senescence regulators p21 and p16. We propose that activated Ras induces transcriptional changes that predispose cells undergoing OIS to mitotic stress and multinucleation. Overall design: We used RNA-seq of IMR90 cells with inducible expression of oncogenic RasV12 that were synchronised in mitosis, to characterise the nature of mitotic defects that lead to multinucleation of oncogene-induced senescent cells",GSM1816176: DD5_ERRAS_4days-induced; Homo sapiens; RNA-Seq,NextSeq 500,cell line;;IMR90|source_name;;Fibroblasts,GEO Accession;;GSM1816176,GSM1816176,DD5_ERRAS_4days-induced,CS,Oncogene-induced CS,Tamoxifen,4 days,HRASG12V,no,Fibroblast,Lung,no,Oncogene-induced CS,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2095301,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,paired,NextSeq 500,Homo sapiens,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,paired,NextSeq 500,Homo sapiens,IMR90,IMR-90,SRP060598,Mitotic stress is an integral part of the oncogene-induced senescence program that promotes multinucleation and cell cycle arrest,"Oncogene-induced senescence (OIS) is a tumor suppression mechanism that blocks cell proliferation in response to oncogenic signalling. OIS is frequently accompanied by multinucleation; however, the origin of this is unknown. Here we show that multinucleate OIS cells originated mostly from failed mitosis. Prior to senescence, mutant RasV12 activation in primary human fibroblasts compromised mitosis, associated with abnormal expression of mitotic genes that enter M-phase.  Simultaneously, RasV12 activation enhanced survival of damaged mitoses, culminating in extended mitotic arrest and aberrant exit from mitosis via mitotic slippage. ERK-dependent transcriptional up-regulation of Mcl1 was responsible for enhanced slippage of cells with mitotic defects and subsequent cell survival. Importantly, mitotic slippage and oncogene signalling synergistically induced senescence and key senescence regulators p21 and p16. We propose that activated Ras induces transcriptional changes that predispose cells undergoing OIS to mitotic stress and multinucleation. Overall design: We used RNA-seq of IMR90 cells with inducible expression of oncogenic RasV12 that were synchronised in mitosis, to characterise the nature of mitotic defects that lead to multinucleation of oncogene-induced senescent cells",GSM1816177: DD6_ERRAS_4days-induced; Homo sapiens; RNA-Seq,NextSeq 500,cell line;;IMR90|source_name;;Fibroblasts,GEO Accession;;GSM1816177,GSM1816177,DD6_ERRAS_4days-induced,CS,Oncogene-induced CS,Tamoxifen,4 days,HRASG12V,no,Fibroblast,Lung,no,Oncogene-induced CS,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR4241042,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,HCA2-hTERT,Primary,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,"To identify genes with different expression levels in dividing and quiescent cells, mRNA-sequencing was done in both conditions for human primary fibroblasts (HCA2-hTert). Overall design: mRNA profiles of dividing and quiescent cells were generated by deep sequencing, in triplicate, using Illumina highseq 2500.",GSM2309729: WT_Qui_1; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibroblasts,GEO Accession;;GSM2309729,GSM2309729,WT_Qui_1,CQ,Contact_inhibited CQ,,8 days,,yes,Fibroblast,Skin,no,CQ,Sample_characteristics: 'cell type: HCA2-hTert'
SRR4241043,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,HCA2-hTERT,Primary,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,"To identify genes with different expression levels in dividing and quiescent cells, mRNA-sequencing was done in both conditions for human primary fibroblasts (HCA2-hTert). Overall design: mRNA profiles of dividing and quiescent cells were generated by deep sequencing, in triplicate, using Illumina highseq 2500.",GSM2309730: WT_Qui_2; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibroblasts,GEO Accession;;GSM2309730,GSM2309730,WT_Qui_2,CQ,Contact_inhibited CQ,,8 days,,yes,Fibroblast,Skin,no,CQ,Sample_characteristics: 'cell type: HCA2-hTert'
SRR4241044,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,HCA2-hTERT,Primary,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,"To identify genes with different expression levels in dividing and quiescent cells, mRNA-sequencing was done in both conditions for human primary fibroblasts (HCA2-hTert). Overall design: mRNA profiles of dividing and quiescent cells were generated by deep sequencing, in triplicate, using Illumina highseq 2500.",GSM2309731: WT_Qui_3; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibroblasts,GEO Accession;;GSM2309731,GSM2309731,WT_Qui_3,CQ,Contact_inhibited CQ,,8 days,,yes,Fibroblast,Skin,no,CQ,Sample_characteristics: 'cell type: HCA2-hTert'
SRR4241039,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,HCA2-hTERT,Primary,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,"To identify genes with different expression levels in dividing and quiescent cells, mRNA-sequencing was done in both conditions for human primary fibroblasts (HCA2-hTert). Overall design: mRNA profiles of dividing and quiescent cells were generated by deep sequencing, in triplicate, using Illumina highseq 2500.",GSM2309726: WT_Div_1; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibroblasts,GEO Accession;;GSM2309726,GSM2309726,WT_Div_1,Proliferating,Proliferating,,,,yes,Fibroblast,Skin,no,Proliferating,Sample_characteristics: 'cell type: HCA2-hTert'
