external_id,study,sra.study_title,sra.library_layout,sra.platform_model,recount_project.organism,cell_line,cell_line_assubmitted,sra,study_title,abstract,sample_title,platform,full_attributes,attributes,geo,label,cell_state,cell_substate,Induction_details,time_after_treatment,genetic_manipulations,immortalised,cell_type,tissue,cancer_cell_line,immortalisation_evidence
SRR4241042,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,HCA2-hTERT,Primary,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,"To identify genes with different expression levels in dividing and quiescent cells, mRNA-sequencing was done in both conditions for human primary fibroblasts (HCA2-hTert). Overall design: mRNA profiles of dividing and quiescent cells were generated by deep sequencing, in triplicate, using Illumina highseq 2500.",GSM2309729: WT_Qui_1; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibroblasts,GEO Accession;;GSM2309729,GSM2309729,WT_Qui_1,CQ,Contact_inhibited CQ,,8 days,,yes,Fibroblast,Skin,no,Sample_characteristics: 'cell type: HCA2-hTert'
SRR4241043,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,HCA2-hTERT,Primary,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,"To identify genes with different expression levels in dividing and quiescent cells, mRNA-sequencing was done in both conditions for human primary fibroblasts (HCA2-hTert). Overall design: mRNA profiles of dividing and quiescent cells were generated by deep sequencing, in triplicate, using Illumina highseq 2500.",GSM2309730: WT_Qui_2; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibroblasts,GEO Accession;;GSM2309730,GSM2309730,WT_Qui_2,CQ,Contact_inhibited CQ,,8 days,,yes,Fibroblast,Skin,no,Sample_characteristics: 'cell type: HCA2-hTert'
SRR4241044,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,HCA2-hTERT,Primary,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,"To identify genes with different expression levels in dividing and quiescent cells, mRNA-sequencing was done in both conditions for human primary fibroblasts (HCA2-hTert). Overall design: mRNA profiles of dividing and quiescent cells were generated by deep sequencing, in triplicate, using Illumina highseq 2500.",GSM2309731: WT_Qui_3; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibroblasts,GEO Accession;;GSM2309731,GSM2309731,WT_Qui_3,CQ,Contact_inhibited CQ,,8 days,,yes,Fibroblast,Skin,no,Sample_characteristics: 'cell type: HCA2-hTert'
SRR4241039,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,HCA2-hTERT,Primary,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,"To identify genes with different expression levels in dividing and quiescent cells, mRNA-sequencing was done in both conditions for human primary fibroblasts (HCA2-hTert). Overall design: mRNA profiles of dividing and quiescent cells were generated by deep sequencing, in triplicate, using Illumina highseq 2500.",GSM2309726: WT_Div_1; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibroblasts,GEO Accession;;GSM2309726,GSM2309726,WT_Div_1,Proliferating,Proliferating,,,,yes,Fibroblast,Skin,no,Sample_characteristics: 'cell type: HCA2-hTert'
SRR4241040,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,HCA2-hTERT,Primary,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,"To identify genes with different expression levels in dividing and quiescent cells, mRNA-sequencing was done in both conditions for human primary fibroblasts (HCA2-hTert). Overall design: mRNA profiles of dividing and quiescent cells were generated by deep sequencing, in triplicate, using Illumina highseq 2500.",GSM2309727: WT_Div_2; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibroblasts,GEO Accession;;GSM2309727,GSM2309727,WT_Div_2,Proliferating,Proliferating,,,,yes,Fibroblast,Skin,no,Sample_characteristics: 'cell type: HCA2-hTert'
SRR4241041,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,single,Illumina HiSeq 2500,Homo sapiens,HCA2-hTERT,Primary,SRP089801,Expression level comparison under dividing and quiescent states in human primary fibroblasts,"To identify genes with different expression levels in dividing and quiescent cells, mRNA-sequencing was done in both conditions for human primary fibroblasts (HCA2-hTert). Overall design: mRNA profiles of dividing and quiescent cells were generated by deep sequencing, in triplicate, using Illumina highseq 2500.",GSM2309728: WT_Div_3; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibroblasts,GEO Accession;;GSM2309728,GSM2309728,WT_Div_3,Proliferating,Proliferating,,,,yes,Fibroblast,Skin,no,Sample_characteristics: 'cell type: HCA2-hTert'
SRR2932856,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),"Cellular senescence is a homeostatic program associated with tumor suppression, wound healing, and certain age related pathologies. Senescent cells display a repressive chromatin configuration thought to stably silence proliferation-promoting genes, while at the same time activate an unusual form of immune surveillance involving a secretory program referred to as the senescence-associated secretory phenotype (SASP). Here we demonstrate that senescence also involves a global remodeling of the enhancer landscape with recruitment of the chromatin reader BRD4 to newly activated super-enhancers adjacent to key SASP genes. Transcriptional profiling and functional studies indicate that BRD4 is required for the SASP and downstream paracrine signaling. Consequently, BRD4 inhibition disrupts immune cell-mediated targeting and elimination of premalignant senescent cells in vitro and in vivo. Our results identify a critical role for BRD4-bound super-enhancers in senescence immune surveillance and in the proper execution of a tumor-suppressive program. Overall design: Analysis of RNA isolated from human fibroblasts (IMR90) in proliferating, quiescent or senescent (HrasV12) conditions upon knockdown of Brd4, p65, p53, p53/RB, p16/21 or Vehicle and JQ1 treatment",GSM1917083: Proliferating IMR90 shRen_1; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell condition;;proliferating|cell line;;IMR90|cell type;;fetal lung fibroblasts|source_name;;IMR90 human fibrobasts|treatment;;no treatment|viral transduction;;cotransduced with pWZL-Hygro and shRen,GEO Accession;;GSM1917083,GSM1917083,Proliferating IMR90 shRen_1,Proliferating,Proliferating,,,control shRNA,no,Fibroblast,Lung,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2932857,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),"Cellular senescence is a homeostatic program associated with tumor suppression, wound healing, and certain age related pathologies. Senescent cells display a repressive chromatin configuration thought to stably silence proliferation-promoting genes, while at the same time activate an unusual form of immune surveillance involving a secretory program referred to as the senescence-associated secretory phenotype (SASP). Here we demonstrate that senescence also involves a global remodeling of the enhancer landscape with recruitment of the chromatin reader BRD4 to newly activated super-enhancers adjacent to key SASP genes. Transcriptional profiling and functional studies indicate that BRD4 is required for the SASP and downstream paracrine signaling. Consequently, BRD4 inhibition disrupts immune cell-mediated targeting and elimination of premalignant senescent cells in vitro and in vivo. Our results identify a critical role for BRD4-bound super-enhancers in senescence immune surveillance and in the proper execution of a tumor-suppressive program. Overall design: Analysis of RNA isolated from human fibroblasts (IMR90) in proliferating, quiescent or senescent (HrasV12) conditions upon knockdown of Brd4, p65, p53, p53/RB, p16/21 or Vehicle and JQ1 treatment",GSM1917084: Proliferating IMR90 shRen_2; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell condition;;proliferating|cell line;;IMR90|cell type;;fetal lung fibroblasts|source_name;;IMR90 human fibrobasts|treatment;;no treatment|viral transduction;;cotransduced with pWZL-Hygro and shRen,GEO Accession;;GSM1917084,GSM1917084,Proliferating IMR90 shRen_2,Proliferating,Proliferating,,,control shRNA,no,Fibroblast,Lung,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2932858,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),"Cellular senescence is a homeostatic program associated with tumor suppression, wound healing, and certain age related pathologies. Senescent cells display a repressive chromatin configuration thought to stably silence proliferation-promoting genes, while at the same time activate an unusual form of immune surveillance involving a secretory program referred to as the senescence-associated secretory phenotype (SASP). Here we demonstrate that senescence also involves a global remodeling of the enhancer landscape with recruitment of the chromatin reader BRD4 to newly activated super-enhancers adjacent to key SASP genes. Transcriptional profiling and functional studies indicate that BRD4 is required for the SASP and downstream paracrine signaling. Consequently, BRD4 inhibition disrupts immune cell-mediated targeting and elimination of premalignant senescent cells in vitro and in vivo. Our results identify a critical role for BRD4-bound super-enhancers in senescence immune surveillance and in the proper execution of a tumor-suppressive program. Overall design: Analysis of RNA isolated from human fibroblasts (IMR90) in proliferating, quiescent or senescent (HrasV12) conditions upon knockdown of Brd4, p65, p53, p53/RB, p16/21 or Vehicle and JQ1 treatment",GSM1917085: Proliferating IMR90 shRen_3; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell condition;;proliferating|cell line;;IMR90|cell type;;fetal lung fibroblasts|source_name;;IMR90 human fibrobasts|treatment;;no treatment|viral transduction;;cotransduced with pWZL-Hygro and shRen,GEO Accession;;GSM1917085,GSM1917085,Proliferating IMR90 shRen_3,Proliferating,Proliferating,,,control shRNA,no,Fibroblast,Lung,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRR2932859,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),paired,Illumina HiSeq 2500,Homo sapiens,IMR90,IMR-90,SRP065206,BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq),"Cellular senescence is a homeostatic program associated with tumor suppression, wound healing, and certain age related pathologies. Senescent cells display a repressive chromatin configuration thought to stably silence proliferation-promoting genes, while at the same time activate an unusual form of immune surveillance involving a secretory program referred to as the senescence-associated secretory phenotype (SASP). Here we demonstrate that senescence also involves a global remodeling of the enhancer landscape with recruitment of the chromatin reader BRD4 to newly activated super-enhancers adjacent to key SASP genes. Transcriptional profiling and functional studies indicate that BRD4 is required for the SASP and downstream paracrine signaling. Consequently, BRD4 inhibition disrupts immune cell-mediated targeting and elimination of premalignant senescent cells in vitro and in vivo. Our results identify a critical role for BRD4-bound super-enhancers in senescence immune surveillance and in the proper execution of a tumor-suppressive program. Overall design: Analysis of RNA isolated from human fibroblasts (IMR90) in proliferating, quiescent or senescent (HrasV12) conditions upon knockdown of Brd4, p65, p53, p53/RB, p16/21 or Vehicle and JQ1 treatment",GSM1917086: Quiescent IMR90 shRen_1; Homo sapiens; RNA-Seq,Illumina HiSeq 2500,cell condition;;quiescent|cell line;;IMR90|cell type;;fetal lung fibroblasts|source_name;;IMR90 human fibrobasts|treatment;;no treatment|viral transduction;;cotransduced with pWZL-Hygro and shRen,GEO Accession;;GSM1917086,GSM1917086,Quiescent IMR90 shRen_1,CQ,Serum_starved CQ,serum-starved;0.1 % FBS,4 days,control shRNA,no,Fibroblast,Lung,no,no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
