"test","stratum","condition","model","n_test","n_control","median_test","median_control","diff_within","p","p_adj"
"condition_within_cellline","BJ","OIS","scaled_diff",7,6,63.4504020277076,35.5053341179504,27.9450679097572,0.013986013986014,0.027972027972028
"condition_within_cellline","BJ","OIS","yugene_diff",7,6,20.6270550651583,1.64696514713437,18.9800899180239,0.00116550116550117,0.0027972027972028
"condition_within_cellline","IMR-90","SSCQ","scaled_diff",6,44,-18.6941731046465,-11.9083204447506,-6.78585265989595,0.098401580798832,0.133333333333333
"condition_within_cellline","IMR-90","SSCQ","yugene_diff",6,44,-1.11959663477266,-3.91056173919532,2.79096510442266,0.421275211287105,0.421275211287105
"condition_within_cellline","IMR-90","RS","scaled_diff",7,44,30.4744238652121,-11.9083204447506,42.3827443099626,2.28028306604788e-06,9.12113226419152e-06
"condition_within_cellline","IMR-90","RS","yugene_diff",7,44,19.1796003590002,-3.91056173919532,23.0901620981955,0.00012427542709961,0.000372826281298829
"condition_within_cellline","IMR-90","SIPS","scaled_diff",18,44,20.8520767663868,-11.9083204447506,32.7603972111373,2.50694620328851e-05,7.52083860986554e-05
"condition_within_cellline","IMR-90","SIPS","yugene_diff",18,44,28.4413219232069,-3.91056173919532,32.3518836624022,1.19898837398158e-06,4.7959534959263e-06
"condition_within_cellline","IMR-90","OIS","scaled_diff",32,44,20.8804175291463,-11.9083204447506,32.7887379738969,1.06988404392742e-11,1.28386085271291e-10
"condition_within_cellline","IMR-90","OIS","yugene_diff",32,44,24.4064209825052,-3.91056173919532,28.3169827217005,7.12159765743506e-09,4.27295859446104e-08
"condition_within_cellline","MRC-5","CICQ","scaled_diff",3,3,18.1258933742531,-4.10327738461881,22.2291707588719,0.1,0.133333333333333
"condition_within_cellline","MRC-5","CICQ","yugene_diff",3,3,49.058443721461,9.15645927180725,39.9019844496538,0.1,0.133333333333333
"condition_within_cellline","Primary","CICQ","scaled_diff",16,21,52.2281707148967,45.035815737946,7.1923549769507,0.308452456010556,0.326681665370789
"condition_within_cellline","Primary","CICQ","yugene_diff",16,21,21.5778609991462,8.01896920583103,13.5588917933151,0.0229219252094911,0.0392947289305562
"condition_within_cellline","Primary","SSCQ","scaled_diff",11,21,39.0197238781419,45.035815737946,-6.0160918598041,0.326681665370789,0.326681665370789
"condition_within_cellline","Primary","SSCQ","yugene_diff",11,21,10.6049594356945,8.01896920583103,2.58599022986347,0.133236902020454,0.159884282424545
"condition_within_cellline","Primary","SIPS","scaled_diff",21,21,66.0142236170349,45.035815737946,20.9784078790889,5.93395870580252e-09,3.56037522348151e-08
"condition_within_cellline","Primary","SIPS","yugene_diff",21,21,38.7328879130481,8.01896920583103,30.7139187072171,2.48951304501421e-10,2.98741565401705e-09
"condition_within_cellline","TIG-3","SSCQ","scaled_diff",3,9,10.3245812294204,19.2806351807508,-8.9560539513304,0.209090909090909,0.250909090909091
"condition_within_cellline","TIG-3","SSCQ","yugene_diff",3,9,9.02781174328921,3.1960593459149,5.83175239737431,0.209090909090909,0.228099173553719
