"test","condition","model","n_studies","n_test","n_control","diff_within_study","diff_pooled","studies_positive","p_sign","p_perm","p_perm_adj","study","cell_line","immortalised","diff"
"condition_within_study_stratified","CICQ","scaled_diff",6,16,16,5.88320206320106,47.6381527493836,5,0.21875,0.138843057847108,0.138843057847108,NA,NA,NA,NA
"condition_within_study_stratified","SSCQ","scaled_diff",6,22,29,-3.43346398903611,21.7377857872901,2,0.6875,0.109044547772611,0.136305684715764,NA,NA,NA,NA
"condition_within_study_stratified","RS","scaled_diff",6,11,9,42.3294942513317,31.2086999159848,6,0.03125,0.000299985000749962,0.000499975001249937,NA,NA,NA,NA
"condition_within_study_stratified","SIPS","scaled_diff",4,36,20,23.2873431277108,54.3137881151093,3,0.625,4.99975001249937e-05,0.000124993750312484,NA,NA,NA,NA
"condition_within_study_stratified","OIS","scaled_diff",15,47,49,33.2979984251735,27.8408500021464,15,6.10351562500001e-05,4.99975001249937e-05,0.000124993750312484,NA,NA,NA,NA
"condition_within_study_stratified","CICQ","yugene_diff",6,16,16,19.0878784630291,22.0526646842752,6,0.03125,4.99975001249937e-05,8.33291668749896e-05,NA,NA,NA,NA
"condition_within_study_stratified","SSCQ","yugene_diff",6,22,29,7.75598253872412,8.24552067886423,6,0.03125,0.00274986250687466,0.00274986250687466,NA,NA,NA,NA
"condition_within_study_stratified","RS","yugene_diff",6,11,9,32.4582767982774,23.4026632992927,6,0.03125,0.000149992500374981,0.000187490625468727,NA,NA,NA,NA
"condition_within_study_stratified","SIPS","yugene_diff",4,36,20,27.7600557074481,29.9153101413466,4,0.125,4.99975001249937e-05,8.33291668749896e-05,NA,NA,NA,NA
"condition_within_study_stratified","OIS","yugene_diff",15,47,49,26.9177104731896,23.4457417180042,15,6.10351562500001e-05,4.99975001249937e-05,8.33291668749896e-05,NA,NA,NA,NA
"per_study_contrast","CICQ","scaled_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP045867","MRC-5","no",22.4383758598756
"per_study_contrast","CICQ","scaled_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP089801","HCA2-hTERT","yes",3.74620982813607
"per_study_contrast","CICQ","scaled_diff",NA,2,2,NA,NA,NA,NA,NA,NA,"SRP153205","HDF 12-1","no",14.7607267729275
"per_study_contrast","CICQ","scaled_diff",NA,2,2,NA,NA,NA,NA,NA,NA,"SRP153724","HDF 12-3","no",9.92779007002549
"per_study_contrast","CICQ","scaled_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP154382","HDF 10-2","no",-13.8580724914532
"per_study_contrast","CICQ","scaled_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP154577","HDF 10-5","no",2.59155324521187
"per_study_contrast","SSCQ","scaled_diff",NA,6,6,NA,NA,NA,NA,NA,NA,"ERP021140","HCA2/BJ (primary)","no",-7.13494039637468
"per_study_contrast","SSCQ","scaled_diff",NA,2,3,NA,NA,NA,NA,NA,NA,"SRP017378","BJ-hTERT","yes",3.45294563405189
"per_study_contrast","SSCQ","scaled_diff",NA,2,2,NA,NA,NA,NA,NA,NA,"SRP052706","foreskin 2DD","no",17.8195001027181
"per_study_contrast","SSCQ","scaled_diff",NA,6,6,NA,NA,NA,NA,NA,NA,"SRP065206","IMR90","no",-5.36514820679173
"per_study_contrast","SSCQ","scaled_diff",NA,3,9,NA,NA,NA,NA,NA,NA,"SRP066947","Tig3ET","yes",-6.80348603162156
"per_study_contrast","SSCQ","scaled_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP154382","HDF 10-2","no",-6.78988010127613
"per_study_contrast","RS","scaled_diff",NA,1,1,NA,NA,NA,NA,NA,NA,"SRP034163","IMR90","no",42.4250936053278
"per_study_contrast","RS","scaled_diff",NA,2,2,NA,NA,NA,NA,NA,NA,"SRP034541","IMR90","no",53.5440515012949
"per_study_contrast","RS","scaled_diff",NA,2,2,NA,NA,NA,NA,NA,NA,"SRP040745","BJ","no",19.9429906531609
"per_study_contrast","RS","scaled_diff",NA,1,1,NA,NA,NA,NA,NA,NA,"SRP064207","WI-38","no",51.5040770294253
"per_study_contrast","RS","scaled_diff",NA,1,1,NA,NA,NA,NA,NA,NA,"SRP069768","WI-38","no",51.0946137117571
"per_study_contrast","RS","scaled_diff",NA,4,2,NA,NA,NA,NA,NA,NA,"SRP121031","IMR90","no",43.9452159152944
"per_study_contrast","SIPS","scaled_diff",NA,18,6,NA,NA,NA,NA,NA,NA,"ERP021140","HCA2/BJ (primary)","no",17.3399387414621
"per_study_contrast","SIPS","scaled_diff",NA,8,8,NA,NA,NA,NA,NA,NA,"SRP062872","IMR90","no",44.2905459368222
"per_study_contrast","SIPS","scaled_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP098713","IMR90","no",-1.0975411293711
"per_study_contrast","SIPS","scaled_diff",NA,7,3,NA,NA,NA,NA,NA,NA,"SRP136071","IMR90","no",13.4434549788043
"per_study_contrast","OIS","scaled_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP017142","WI-38","no",48.2134032513601
"per_study_contrast","OIS","scaled_diff",NA,1,1,NA,NA,NA,NA,NA,NA,"SRP040243","IMR90","no",25.8294370936103
"per_study_contrast","OIS","scaled_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP046254","IMR90 ER:RAS","no",27.6285014107414
"per_study_contrast","OIS","scaled_diff",NA,3,3,NA,NA,NA,NA,NA,NA,"SRP060598","IMR90","no",9.34984544533514
"per_study_contrast","OIS","scaled_diff",NA,8,8,NA,NA,NA,NA,NA,NA,"SRP062872","IMR90","no",42.8189062326462
