"external_id","study","cell_line","tissue","cell_substate","immortalised_curated","immortalised","evidence","changed"
"SRR2095296","SRP060598","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2095297","SRP060598","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2095298","SRP060598","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2095299","SRP060598","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2095300","SRP060598","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2095301","SRP060598","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR4241042","SRP089801","Primary","Skin","Contact_inhibited CQ","yes","yes","cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibr",FALSE
"SRR4241043","SRP089801","Primary","Skin","Contact_inhibited CQ","yes","yes","cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibr",FALSE
"SRR4241044","SRP089801","Primary","Skin","Contact_inhibited CQ","yes","yes","cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibr",FALSE
"SRR4241039","SRP089801","Primary","Skin","Proliferating","yes","yes","cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibr",FALSE
"SRR4241040","SRP089801","Primary","Skin","Proliferating","yes","yes","cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibr",FALSE
"SRR4241041","SRP089801","Primary","Skin","Proliferating","yes","yes","cell type;;HCA2-hTert|source_name;;Human primary fibroblasts|tissue;;primary fibr",FALSE
"SRR1197244","SRP040243","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR1197245","SRP040243","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2932856","SRP065206","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2932857","SRP065206","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2932858","SRP065206","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2932859","SRP065206","IMR-90","Lung","Serum_starved CQ","no","no",NA,FALSE
"SRR2932860","SRP065206","IMR-90","Lung","Serum_starved CQ","no","no",NA,FALSE
"SRR2932861","SRP065206","IMR-90","Lung","Serum_starved CQ","no","no",NA,FALSE
"SRR2932862","SRP065206","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2932863","SRP065206","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2932864","SRP065206","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2932910","SRP065206","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2932911","SRP065206","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR2932912","SRP065206","IMR-90","Lung","Proliferating","no","no",NA,FALSE
