"test","condition","model","n_immortalised","n_primary","median_immortalised","median_primary","median_diff","p","p_adj","n_immortalised_in_condition","diff_all","p_all","diff_primary","p_primary","p_all_adj","p_primary_adj"
"immortalised_vs_primary_within_condition","Proliferating","scaled_diff",12,79,45.6763238724586,-4.10327738461881,49.7796012570774,0.000134501457360603,0.000807008744163618,NA,NA,NA,NA,NA,NA,NA
"immortalised_vs_primary_within_condition","Proliferating","yugene_diff",12,79,10.5312589972433,0.740003519923138,9.79125547732017,0.0373380153053007,0.0746760306106014,NA,NA,NA,NA,NA,NA,NA
"immortalised_vs_primary_within_condition","CICQ","scaled_diff",3,16,53.6084057142179,37.3094373036494,16.2989684105685,0.359133126934985,0.538699690402477,NA,NA,NA,NA,NA,NA,NA
"immortalised_vs_primary_within_condition","CICQ","yugene_diff",3,16,24.2085272493187,22.6567922771637,1.551734972155,1,1,NA,NA,NA,NA,NA,NA,NA
"immortalised_vs_primary_within_condition","OIS","scaled_diff",11,37,52.0721071390457,27.3632781907446,24.7088289483011,0.0294208122598225,0.0746760306106014,NA,NA,NA,NA,NA,NA,NA
"immortalised_vs_primary_within_condition","OIS","yugene_diff",11,37,20.6270550651583,25.1222758158667,-4.4952207507084,0.716778379400295,0.860134055280354,NA,NA,NA,NA,NA,NA,NA
NA,"CICQ","scaled_diff",NA,NA,NA,NA,NA,NA,NA,3,47.6381527493836,3.19262743544435e-05,41.4127146882683,3.59736799251387e-05,5.32104572574058e-05,5.99561332085645e-05
NA,"CICQ","yugene_diff",NA,NA,NA,NA,NA,NA,NA,3,22.0526646842752,4.34908867554817e-05,21.9167887572406,0.000350180316292636,5.43636084443522e-05,0.000437725395365796
NA,"SSCQ","scaled_diff",NA,NA,NA,NA,NA,NA,NA,2,21.7377857872901,0.205755366900604,24.5371765813865,0.151686453398983,0.205755366900604,0.151686453398983
NA,"SSCQ","yugene_diff",NA,NA,NA,NA,NA,NA,NA,2,8.24552067886423,0.00770356896966495,8.24250333200273,0.0100167366550814,0.00770356896966495,0.0100167366550814
NA,"RS","scaled_diff",NA,NA,NA,NA,NA,NA,NA,0,31.2086999159848,0.00290529813251128,37.9193758501461,0.000337463621792322,0.0036316226656391,0.000421829527240403
NA,"RS","yugene_diff",NA,NA,NA,NA,NA,NA,NA,0,23.4026632992927,2.99219358201874e-06,23.6233390438706,3.03059593309563e-06,4.98698930336457e-06,5.05099322182604e-06
NA,"SIPS","scaled_diff",NA,NA,NA,NA,NA,NA,NA,0,54.3137881151093,3.56916298738241e-07,61.0244640492706,4.97771097673905e-08,1.78458149369121e-06,2.48885548836952e-07
NA,"SIPS","yugene_diff",NA,NA,NA,NA,NA,NA,NA,0,29.9153101413466,5.97299987248334e-14,30.1359858859245,1.02806652080289e-13,2.98649993624167e-13,5.14033260401447e-13
NA,"OIS","scaled_diff",NA,NA,NA,NA,NA,NA,NA,11,27.8408500021464,1.45426006858962e-06,31.4665555753634,9.13266308177896e-06,3.63565017147405e-06,2.28316577044474e-05
NA,"OIS","yugene_diff",NA,NA,NA,NA,NA,NA,NA,11,23.4457417180042,1.27924337789409e-11,24.3822722959436,3.26587579202453e-09,3.19810844473523e-11,8.16468948006133e-09
