"test","stratum","model","n_immortalised","n_primary","n_studies_imm","n_studies_prim","median_immortalised","median_primary","diff","p","p_adj","median_effect_imm","median_effect_prim"
"A_naive_within_condition_CONFOUNDED","Proliferating","scaled_diff",21,70,7,25,25.1234788390517,-6.01152662938504,31.1350054684367,0.000161556296045529,0.000646225184182114,NA,NA
"A_naive_within_condition_CONFOUNDED","Proliferating","yugene_diff",21,70,7,25,6.98890658567061,0.386960164250552,6.60194642142006,0.142984601036292,0.571938404145167,NA,NA
"A_naive_within_condition_CONFOUNDED","CICQ","scaled_diff",3,16,1,6,53.6084057142179,37.3094373036494,16.2989684105685,0.359133126934985,0.478844169246646,NA,NA
"A_naive_within_condition_CONFOUNDED","CICQ","yugene_diff",3,16,1,6,24.2085272493187,22.6567922771637,1.551734972155,1,1,NA,NA
"A_naive_within_condition_CONFOUNDED","SSCQ","scaled_diff",5,17,2,4,13.5329037592407,27.3498672911462,-13.8169635319055,0.704336599073441,0.704336599073441,NA,NA
"A_naive_within_condition_CONFOUNDED","SSCQ","yugene_diff",5,17,2,4,11.672304020376,8.93720196056253,2.73510205981347,0.319283056125161,0.588874787345341,NA,NA
"A_naive_within_condition_CONFOUNDED","OIS","scaled_diff",17,31,6,10,51.9233944042938,23.7776555332509,28.1457388710429,0.0146605962756204,0.0293211925512409,NA,NA
"A_naive_within_condition_CONFOUNDED","OIS","yugene_diff",17,31,6,10,20.6270550651583,25.1222758158667,-4.4952207507084,0.441656090509006,0.588874787345341,NA,NA
"B_parental_matched","BJ Proliferating","scaled_diff",7,2,NA,NA,44.208838986892,32.8553866383281,11.3534523485638,0.222222222222222,0.333333333333333,NA,NA
"B_parental_matched","BJ Proliferating","yugene_diff",7,2,NA,NA,12.1899581256621,1.64696514713437,10.5429929785277,0.5,0.761099365750529,NA,NA
"B_parental_matched","IMR90 Proliferating","scaled_diff",2,42,NA,NA,3.48784620271058,-12.6788619083574,16.166708111068,0.0422832980972516,0.126849894291755,NA,NA
"B_parental_matched","IMR90 Proliferating","yugene_diff",2,42,NA,NA,-0.0739104023627465,-4.63172852848838,4.55781812612563,0.507399577167019,0.761099365750529,NA,NA
"B_parental_matched","IMR90 OIS","scaled_diff",4,28,NA,NA,32.7786198597874,20.8804175291463,11.898202330641,0.978031145717464,0.978031145717464,NA,NA
"B_parental_matched","IMR90 OIS","yugene_diff",4,28,NA,NA,28.7519759987752,24.4064209825052,4.34555501627,0.978031145717464,0.978031145717464,NA,NA
"C_within_study_OIS_effect_by_htert","OIS","scaled_diff",NA,NA,5,10,NA,NA,-15.3443846363842,0.0992340992340992,0.198468198468198,15.4693978829112,30.8137825192954
"C_within_study_OIS_effect_by_htert","OIS","yugene_diff",NA,NA,5,10,NA,NA,-4.91155881847375,0.594072594072594,0.594072594072594,19.2228337790887,24.1343925975624
