analysis,label,pathway,n_genes_in_model,cohens_d,null_mean_abs_d,null_q95_abs_d,p_empirical,p_floor,n_draws,model
meta_analysis,CICQ,Adaptive immunity/ T cell signaling (darkgreen),73,-0.14184452348736917,0.6976683101591739,1.6839042887407005,0.8731268731268731,0.000999000999000999,1000,scaled
meta_analysis,CICQ,Cell cycle/ DNA replication (green),117,0.3456364064855468,0.7424499575900697,1.7655697011503113,0.7222777222777222,0.000999000999000999,1000,scaled
meta_analysis,CICQ,Chromatin modification (orange),169,1.6595318408795745,0.7502860173537488,1.78349431662718,0.07092907092907093,0.000999000999000999,1000,scaled
meta_analysis,CICQ,ECM organization/ EMT (brown4),75,0.1323083050334567,0.7479593712460899,1.7518135854111665,0.9100899100899101,0.000999000999000999,1000,scaled
meta_analysis,CICQ,Fatty acid metabolism/ Peroxisome (ivory),20,0.47606892323633404,0.6866647278370599,1.6190367039195583,0.5714285714285714,0.0010277492291880781,972,scaled
meta_analysis,CICQ,Innate immunity/ Inflammation (turquoise),238,0.5725245237339874,0.7224226592241273,1.6551916750303188,0.5344655344655345,0.000999000999000999,1000,scaled
meta_analysis,CICQ,Interferon signaling (darkmagenta),45,1.0464759764468272,0.6962708310762967,1.685223719200464,0.23976023976023977,0.000999000999000999,1000,scaled
meta_analysis,CICQ,Mitochondrial translation/ OxPhos (pink),186,-2.3114017719552744,0.7348566766112085,1.7248946074134557,0.004995004995004995,0.000999000999000999,1000,scaled
meta_analysis,CICQ,Muscle contraction/ Cytoskeleton/ Glycolysis (blue),92,0.1342522128244999,0.7560797871899645,1.806374494619293,0.9150849150849151,0.000999000999000999,1000,scaled
meta_analysis,CICQ,OxPhos/ Heme metabolism (white),65,0.687667180011241,0.692855097046766,1.7032077240927885,0.42,0.001,999,scaled
meta_analysis,CICQ,Protein folding/ Translation (plum1),21,-1.2180433121377654,0.711061081089373,1.7035445102314422,0.145769622833843,0.0010193679918450561,980,scaled
meta_analysis,CICQ,Protein processing in ER/ UPR (darkslateblue),23,1.0760482890257943,0.7123613939173579,1.6513296482686384,0.21862348178137653,0.0010121457489878543,987,scaled
meta_analysis,CICQ,VEGF signaling (sienna3),45,-1.228220828272802,0.6916495899173101,1.6992231215661535,0.16483516483516483,0.000999000999000999,1000,scaled
meta_analysis,CICQ,mRNA splicing (darkred),79,0.4951108822944913,0.6767157046680625,1.5528561958969533,0.5734265734265734,0.000999000999000999,1000,scaled
meta_analysis,SSCQ,Adaptive immunity/ T cell signaling (darkgreen),73,-0.23032645682255537,0.5593037148927409,1.3476332442240522,0.7622377622377622,0.000999000999000999,1000,scaled
meta_analysis,SSCQ,Cell cycle/ DNA replication (green),117,0.8905675070494645,0.5631746202932778,1.3844038382946573,0.20679320679320679,0.000999000999000999,1000,scaled
meta_analysis,SSCQ,Chromatin modification (orange),169,-0.5646762477780983,0.5658419189542798,1.3386498544590648,0.44455544455544455,0.000999000999000999,1000,scaled
meta_analysis,SSCQ,ECM organization/ EMT (brown4),75,0.19933566824763063,0.5549095529863688,1.3352935231474234,0.7842157842157842,0.000999000999000999,1000,scaled
meta_analysis,SSCQ,Fatty acid metabolism/ Peroxisome (ivory),20,-0.3275478800841744,0.5641304200154506,1.4936266788034156,0.6352459016393442,0.0010245901639344263,975,scaled
meta_analysis,SSCQ,Innate immunity/ Inflammation (turquoise),238,0.44049952868569847,0.5399295668722053,1.3348378401271705,0.5184815184815185,0.000999000999000999,1000,scaled
meta_analysis,SSCQ,Interferon signaling (darkmagenta),45,0.6274268038038072,0.5206110762006099,1.2485153462839644,0.34765234765234765,0.000999000999000999,1000,scaled
meta_analysis,SSCQ,Mitochondrial translation/ OxPhos (pink),186,-1.2827673057864655,0.534040863419516,1.2267634745396625,0.04695304695304695,0.000999000999000999,1000,scaled
meta_analysis,SSCQ,Muscle contraction/ Cytoskeleton/ Glycolysis (blue),92,-0.5309251136158547,0.5508918663549967,1.3343690397415233,0.4435564435564436,0.000999000999000999,1000,scaled
meta_analysis,SSCQ,OxPhos/ Heme metabolism (white),65,1.307979633084769,0.5252459689719493,1.2936536025778842,0.045,0.001,999,scaled
meta_analysis,SSCQ,Protein folding/ Translation (plum1),21,-0.028943502779830075,0.581641699299678,1.496327288045084,0.9694501018329938,0.0010183299389002036,981,scaled
