"analysis","label","cell_type","timepoint","pathway","cohens_d","wilcox_p","n_test","n_control","model","p_adj"
"meta_analysis","CICQ",NA,NA,"Adaptive immunity/ T cell signaling (darkgreen)",-0.141844523487369,0.135047209256251,19,91,"scaled",0.175061197184029
"meta_analysis","CICQ",NA,NA,"Cell cycle/ DNA replication (green)",0.345636406485547,0.0677598298741418,19,91,"scaled",0.0967997569630596
"meta_analysis","CICQ",NA,NA,"Chromatin modification (orange)",1.65953184087957,1.39198254256456e-07,19,91,"scaled",9.74387779795194e-07
"meta_analysis","CICQ",NA,NA,"ECM organization/ EMT (brown4)",0.132308305033457,0.457304880766486,19,91,"scaled",0.508116534184985
"meta_analysis","CICQ",NA,NA,"Fatty acid metabolism/ Peroxisome (ivory)",0.476068923236334,0.0421342116058858,19,91,"scaled",0.0702236860098097
"meta_analysis","CICQ",NA,NA,"Innate immunity/ Inflammation (turquoise)",0.572524523733987,0.0196653734516556,19,91,"scaled",0.0352968241439973
"meta_analysis","CICQ",NA,NA,"Interferon signaling (darkmagenta)",1.04647597644683,0.000734293992729951,19,91,"scaled",0.00183573498182488
"meta_analysis","CICQ",NA,NA,"Mitochondrial translation/ OxPhos (pink)",-2.31140177195527,2.13445446126334e-07,19,91,"scaled",1.24571793972776e-06
"meta_analysis","CICQ",NA,NA,"Muscle contraction/ Cytoskeleton/ Glycolysis (blue)",0.1342522128245,0.7880448703989,19,91,"scaled",0.820295124637166
"meta_analysis","CICQ",NA,NA,"OxPhos/ Heme metabolism (white)",0.687667180011241,0.0642670420235838,19,91,"scaled",0.0937227696177264
"meta_analysis","CICQ",NA,NA,"Protein folding/ Translation (plum1)",-1.21804331213776,1.88679144162271e-05,19,91,"scaled",6.60377004567948e-05
"meta_analysis","CICQ",NA,NA,"Protein processing in ER/ UPR (darkslateblue)",1.07604828902579,0.00389940103009123,19,91,"scaled",0.00852993975332457
"meta_analysis","CICQ",NA,NA,"VEGF signaling (sienna3)",-1.2282208282728,3.92538039335303e-05,19,91,"scaled",0.000119468098928136
"meta_analysis","CICQ",NA,NA,"mRNA splicing (darkred)",0.495110882294491,0.0397907876929837,19,91,"scaled",0.0679354911831429
