external_id,mortality_tAge,study,group,condition,immortalised,cell_line
SRR2095296,-1.074968718146935,SRP060598,Proliferating,Proliferating,no,IMR90
SRR2095297,-1.2687322341415466,SRP060598,Proliferating,Proliferating,no,IMR90
SRR2095298,-1.0797086665739921,SRP060598,Proliferating,Proliferating,no,IMR90
SRR2095299,-0.9210264875849843,SRP060598,Oncogene-induced CS,OIS,no,IMR90
SRR2095300,-1.1669568954032103,SRP060598,Oncogene-induced CS,OIS,no,IMR90
SRR2095301,-0.718050588056959,SRP060598,Oncogene-induced CS,OIS,no,IMR90
SRR4241042,1.5050327713081648,SRP089801,Contact_inhibited CQ,CICQ,yes,HCA2-hTERT
SRR4241043,1.5440987597809008,SRP089801,Contact_inhibited CQ,CICQ,yes,HCA2-hTERT
SRR4241044,1.5293244418179415,SRP089801,Contact_inhibited CQ,CICQ,yes,HCA2-hTERT
SRR4241039,1.2936263206409995,SRP089801,Proliferating,Proliferating,yes,HCA2-hTERT
SRR4241040,1.337915518452179,SRP089801,Proliferating,Proliferating,yes,HCA2-hTERT
SRR4241041,1.2968902124728712,SRP089801,Proliferating,Proliferating,yes,HCA2-hTERT
SRR1197244,-0.19185036918209547,SRP040243,Proliferating,Proliferating,no,IMR90
SRR1197245,0.35498257579462233,SRP040243,Oncogene-induced CS,OIS,no,IMR90
SRR2932856,0.051702058985876945,SRP065206,Proliferating,Proliferating,no,IMR90
SRR2932857,-0.0904379472888556,SRP065206,Proliferating,Proliferating,no,IMR90
SRR2932858,-0.16396832253888305,SRP065206,Proliferating,Proliferating,no,IMR90
SRR2932859,0.2132886554685072,SRP065206,Serum_starved CQ,SSCQ,no,IMR90
SRR2932860,0.41712119494491634,SRP065206,Serum_starved CQ,SSCQ,no,IMR90
SRR2932861,0.2640530219033339,SRP065206,Serum_starved CQ,SSCQ,no,IMR90
SRR2932862,0.8698492410753789,SRP065206,Oncogene-induced CS,OIS,no,IMR90
SRR2932863,1.0047905070095642,SRP065206,Oncogene-induced CS,OIS,no,IMR90
SRR2932864,1.0483669124970034,SRP065206,Oncogene-induced CS,OIS,no,IMR90
SRR2932910,-0.3470593924200104,SRP065206,Proliferating,Proliferating,no,IMR90
SRR2932911,-0.49544681574501426,SRP065206,Proliferating,Proliferating,no,IMR90
SRR2932912,-0.3190255516423408,SRP065206,Proliferating,Proliferating,no,IMR90
SRR2932913,-0.2403322189602224,SRP065206,Serum_starved CQ,SSCQ,no,IMR90
SRR2932914,-0.3450740416686592,SRP065206,Serum_starved CQ,SSCQ,no,IMR90
SRR2932915,-0.29989753286401977,SRP065206,Serum_starved CQ,SSCQ,no,IMR90
SRR1768044,1.0753405584497675,SRP052706,Proliferating,Proliferating,no,foreskin 2DD
SRR1768045,0.9971930065923574,SRP052706,Proliferating,Proliferating,no,foreskin 2DD
SRR1768046,1.9784942254782436,SRP052706,Serum_starved CQ,SSCQ,no,foreskin 2DD
SRR1768047,1.9214350336099282,SRP052706,Serum_starved CQ,SSCQ,no,foreskin 2DD
SRR8284460,0.501859255430638,SRP172671,Proliferating,Proliferating,yes,BJ-hTERT
SRR8284461,0.7760611183369921,SRP172671,Proliferating,Proliferating,yes,BJ-hTERT
SRR8284462,1.0504088953347706,SRP172671,Oncogene-induced CS,OIS,yes,BJ-hTERT
SRR8284463,1.0152085063771574,SRP172671,Oncogene-induced CS,OIS,yes,BJ-hTERT
SRR6869103,0.40106069958861906,SRP136071,Proliferating,Proliferating,no,IMR90
SRR6869105,0.696809240701009,SRP136071,Proliferating,Proliferating,no,IMR90
SRR6869106,0.14493187856870923,SRP136071,Proliferating,Proliferating,no,IMR90
SRR6869117,0.9563624713415073,SRP136071,Stress-induced CS,SIPS,no,IMR90
SRR6869119,0.8596378503846885,SRP136071,Stress-induced CS,SIPS,no,IMR90
SRR6869121,1.1416684887969502,SRP136071,Stress-induced CS,SIPS,no,IMR90
SRR6869122,1.3002619369016712,SRP136071,Stress-induced CS,SIPS,no,IMR90
SRR6869123,0.33506588875294724,SRP136071,Stress-induced CS,SIPS,no,IMR90
SRR6869124,0.530133156776962,SRP136071,Stress-induced CS,SIPS,no,IMR90
SRR6869125,0.5644100663440809,SRP136071,Stress-induced CS,SIPS,no,IMR90
SRR6910824,1.3548367064782132,SRP136727,Oncogene-induced CS,OIS,yes,BJ-hTERT
SRR3151885,0.029034838901424484,SRP069768,Proliferating,Proliferating,no,WI-38
SRR3151886,1.4232541959867593,SRP069768,Replicative CS,RS,no,WI-38
SRR7537847,0.45169053758428485,SRP154382,Proliferating,Proliferating,no,HDF 10-2
SRR7537848,0.7568571696038826,SRP154382,Proliferating,Proliferating,no,HDF 10-2
SRR7537849,0.9695085963784101,SRP154382,Proliferating,Proliferating,no,HDF 10-2
SRR7537850,0.8640648684558362,SRP154382,Contact_inhibited CQ,CICQ,no,HDF 10-2
SRR7537851,0.7343784582013119,SRP154382,Contact_inhibited CQ,CICQ,no,HDF 10-2
