external_id,cell_type,timepoint,mortality_tAge
ERR1805212,Fibroblast,10_days,0.8717149389577459
ERR1805188,Fibroblast,none,-0.0828747956522313
ERR1805189,Fibroblast,none,0.04412849379040863
ERR1805190,Fibroblast,none,-0.02108700956935347
ERR1805192,Fibroblast,4_days,0.33908434332345155
ERR1805193,Fibroblast,4_days,0.36871547358251067
ERR1805194,Fibroblast,4_days,0.19091863033524878
ERR1805195,Fibroblast,10_days,0.3631271835403413
ERR1805197,Fibroblast,10_days,0.18629614252425838
ERR1805198,Fibroblast,10_days,0.46055003455127647
ERR1805199,Fibroblast,20_days,0.6016358750086073
ERR1805200,Fibroblast,20_days,0.6662524688654513
ERR1805201,Fibroblast,20_days,0.5892047507248932
ERR1805202,Fibroblast,20_days,0.5904534038583723
ERR1805203,Fibroblast,20_days,0.6617367193016878
ERR1805204,Fibroblast,20_days,0.6673468948810194
ERR1805209,Fibroblast,none,-0.0029179248125878743
ERR1805210,Fibroblast,none,0.018574798800387288
ERR1805211,Fibroblast,none,0.06341772000720487
ERR1805213,Fibroblast,10_days,0.8032135694396919
ERR1805214,Fibroblast,10_days,0.7220074491690666
ERR1805215,Fibroblast,4_days,0.5215604397452649
ERR1805216,Fibroblast,4_days,0.46784774627377607
ERR1805217,Fibroblast,4_days,0.4933178427784908
ERR1805218,Keratinocyte,none,0.24838136344113285
ERR1805219,Keratinocyte,4_days,0.5771787579991663
ERR1805220,Keratinocyte,4_days,0.6693845239152284
ERR1805221,Keratinocyte,4_days,0.4852942683991761
ERR1805222,Keratinocyte,4_days,0.15358867730940914
ERR1805223,Keratinocyte,4_days,0.29230194817547345
ERR1805224,Keratinocyte,4_days,0.40608574668957914
ERR1805225,Keratinocyte,10_days,0.4667131164331
ERR1805226,Keratinocyte,none,0.343515160046443
ERR1805227,Keratinocyte,10_days,0.3610396125911747
ERR1805228,Keratinocyte,10_days,0.4415982463385432
ERR1805229,Keratinocyte,10_days,0.19587960878315003
ERR1805230,Keratinocyte,10_days,0.2486029902031838
ERR1805231,Keratinocyte,10_days,0.2652863154495287
ERR1805232,Keratinocyte,20_days,0.302376751833961
ERR1805233,Keratinocyte,20_days,0.35466286840430167
ERR1805234,Keratinocyte,20_days,0.19083683736884077
ERR1805235,Keratinocyte,20_days,0.11369748991573536
ERR1805236,Keratinocyte,20_days,0.056910308548318744
ERR1805237,Keratinocyte,none,0.27704113801607927
ERR1805238,Keratinocyte,20_days,-0.08689356675954424
ERR1805239,Keratinocyte,none,-0.1649647060015083
ERR1805240,Keratinocyte,none,-0.2699584853707687
ERR1805241,Keratinocyte,none,-0.24826584141620484
ERR1805242,Melanocyte,none,-0.03651471491406719
ERR1805243,Melanocyte,4_days,0.8551482342792873
ERR1805244,Melanocyte,4_days,0.7311008775859756
ERR1805245,Melanocyte,4_days,0.7213229807357244
ERR1805246,Melanocyte,4_days,0.660380880171465
ERR1805247,Melanocyte,4_days,0.7084755671907065
ERR1805248,Melanocyte,4_days,0.7145200339547195
ERR1805249,Melanocyte,10_days,0.2865723635424977
ERR1805250,Melanocyte,none,-0.0198607549832297
ERR1805251,Melanocyte,10_days,0.06354661727674585
ERR1805252,Melanocyte,10_days,0.21804881045815322
ERR1805253,Melanocyte,10_days,0.3391846141407271
ERR1805254,Melanocyte,10_days,0.318670827949599
ERR1805255,Melanocyte,10_days,0.08337379374927469
ERR1805256,Melanocyte,20_days,0.36932533935687356
ERR1805257,Melanocyte,20_days,0.523151807268205
ERR1805258,Melanocyte,20_days,0.47886143602151965
ERR1805259,Melanocyte,20_days,0.5882727703250419
ERR1805260,Melanocyte,20_days,0.4132800669180269
ERR1805261,Melanocyte,none,0.14577322299669027
ERR1805262,Melanocyte,20_days,0.37807235689419727
ERR1805263,Melanocyte,none,-0.035575073848508026
ERR1805264,Melanocyte,none,0.06582938447290496
ERR1805265,Melanocyte,none,-0.044863803313867745
