test,condition,n_studies,diff_within_study,diff_pooled,studies_positive,p_perm,p_perm_adj_DEPRECATED,stratum,n_imm,n_prim,median_imm,median_prim,diff,p,p_adj,cell_type,timepoint,n_t,n_c
condition_within_study,CICQ,6.0,0.412571128361772,0.8292777820745284,5.0,0.00014999250037498125,0.00024998750062496874,,,,,,,,,,,,
condition_within_study,SSCQ,6.0,0.16670211146841438,0.5806093640305015,5.0,0.030498475076246187,0.03049847507624619,,,,,,,,,,,,
condition_within_study,RS,6.0,1.182725161159698,0.7149365810882474,6.0,0.0002999850007499625,0.00037498125093745314,,,,,,,,,,,,
condition_within_study,SIPS,4.0,0.7632880330800842,1.1468636445352225,4.0,4.999750012499375e-05,0.00012499375031248437,,,,,,,,,,,,
condition_within_study,OIS,15.0,0.634440347810133,0.4653938612099011,14.0,4.999750012499375e-05,0.00012499375031248437,,,,,,,,,,,,
immortalised_vs_primary,,,,,,,,Proliferating,21.0,70.0,0.5653637790047317,0.022150346586002984,0.5432134324187287,0.0004045384142406606,0.0016181536569626425,,,,
immortalised_vs_primary,,,,,,,,CICQ,3.0,16.0,1.5293244418179415,0.9598621257992512,0.5694623160186902,0.0020639834881320948,0.0041279669762641896,,,,
immortalised_vs_primary,,,,,,,,SSCQ,5.0,17.0,0.6863091086179897,0.8007085443577222,-0.11439943573973255,0.4455836561099719,0.4455836561099719,,,,
immortalised_vs_primary,,,,,,,,OIS,17.0,31.0,1.0504088953347706,0.4452766280289208,0.6051322673058497,0.009096905400198694,0.012129207200264926,,,,
temporal_vs_baseline,,,,,,,,,,,,,0.4897238739713131,0.0021645021645021645,0.003896103896103896,Fibroblast,4_days,6.0,6.0
temporal_vs_baseline,,,,,,,,,,,,,0.6462964370192863,0.0021645021645021645,0.003896103896103896,Fibroblast,10_days,6.0,6.0
temporal_vs_baseline,,,,,,,,,,,,,0.6964247439247774,0.0021645021645021645,0.003896103896103896,Fibroblast,20_days,6.0,6.0
temporal_vs_baseline,,,,,,,,,,,,,0.4486229529411758,0.015151515151515152,0.01948051948051948,Keratinocyte,4_days,6.0,6.0
temporal_vs_baseline,,,,,,,,,,,,,0.35120428926048775,0.06493506493506493,0.07305194805194805,Keratinocyte,10_days,6.0,6.0
temporal_vs_baseline,,,,,,,,,,,,,0.19357036393974147,0.3939393939393939,0.3939393939393939,Keratinocyte,20_days,6.0,6.0
temporal_vs_baseline,,,,,,,,,,,,,0.7194458160694174,0.0021645021645021645,0.003896103896103896,Melanocyte,4_days,6.0,6.0
temporal_vs_baseline,,,,,,,,,,,,,0.31286543122912663,0.008658008658008658,0.012987012987012986,Melanocyte,10_days,6.0,6.0
temporal_vs_baseline,,,,,,,,,,,,,0.4347256672586017,0.0021645021645021645,0.003896103896103896,Melanocyte,20_days,6.0,6.0
