"analysis","label","model","pathway","n_studies","contrib_diff_within_study","contrib_diff_pooled","wilcox_p_pooled","p_adj_pooled","studies_positive","p_perm","p_perm_adj"
"meta_analysis","CICQ","scaled","HALLMARK ADIPOGENESIS",6,2.30378813723305,4.2161257440781,7.11492487148746e-09,3.78453450611035e-08,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","CICQ","scaled","HALLMARK ALLOGRAFT REJECTION",6,2.22050633090997,-0.444930328105234,0.669381102407024,0.743382610164431,4,0.0036996300369963,0.00585384499524731
"meta_analysis","CICQ","scaled","HALLMARK ANDROGEN RESPONSE",6,-1.38778289712204,-1.41736754307187,2.4893868796377e-09,1.48177790454625e-08,0,9.99900009999e-05,0.00025507653316301
"meta_analysis","CICQ","scaled","HALLMARK ANGIOGENESIS",6,-2.21458218174654,-0.368259780326477,0.769849009179657,0.815518018198789,1,0.0001999800019998,0.000480721158653365
"meta_analysis","CICQ","scaled","HALLMARK APICAL JUNCTION",6,2.61413322496969,-0.931806531564811,0.0984044133449598,0.142202909458034,5,0.0001999800019998,0.000480721158653365
"meta_analysis","CICQ","scaled","HALLMARK APICAL SURFACE",6,0.205704584742142,0.340889318925503,0.00156181881298756,0.00345535135616717,5,0.0042995700429957,0.00663513895524028
"meta_analysis","CICQ","scaled","HALLMARK APOPTOSIS",6,0.493051873359036,-1.10686769538084,0.0517495737613437,0.078886545367902,4,0.214878512148785,0.254595393541215
"meta_analysis","CICQ","scaled","HALLMARK BILE ACID METABOLISM",6,-0.115435591149345,-0.546802205101034,0.139226729807175,0.188144229469155,4,0.717228277172283,0.753391047449877
"meta_analysis","CICQ","scaled","HALLMARK CHOLESTEROL HOMEOSTASIS",6,-1.14010550362746,-0.32076577424117,0.113770051728785,0.159789398495484,2,0.001999800019998,0.00340102044217347
"meta_analysis","CICQ","scaled","HALLMARK COAGULATION",6,2.96165407826383,1.05789959491497,0.0952257468736937,0.138409515804787,5,0.0001999800019998,0.000480721158653365
"meta_analysis","CICQ","scaled","HALLMARK COMPLEMENT",6,3.57139446289848,2.03499039342067,5.33005022895772e-05,0.000162501531370662,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","CICQ","scaled","HALLMARK DNA REPAIR",6,0.606435705806003,0.31191523590968,0.12697975270352,0.17346960751847,5,0.0005999400059994,0.00117175782421758
"meta_analysis","CICQ","scaled","HALLMARK E2F TARGETS",6,1.00833345627172,0.498258882585976,0.727897305243046,0.781005692320864,5,0.0007999200079992,0.00153830770769077
"meta_analysis","CICQ","scaled","HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",6,-4.96412348694699,-4.18331675071266,0.00112266349567534,0.00261037848975457,1,0.0005999400059994,0.00117175782421758
"meta_analysis","CICQ","scaled","HALLMARK ESTROGEN RESPONSE EARLY",6,1.64049537300278,2.0140229112274,0.00156181881298756,0.00345535135616717,5,0.0014998500149985,0.00258594830172155
"meta_analysis","CICQ","scaled","HALLMARK ESTROGEN RESPONSE LATE",6,-0.160022227347837,-0.521848367062737,0.0480596540818674,0.0741661328423879,2,0.66963303669633,0.712375570953543
"meta_analysis","CICQ","scaled","HALLMARK FATTY ACID METABOLISM",6,-0.332678558675162,1.32700632048855,0.00118686302213367,0.00272216289480199,3,0.162983701629837,0.198760611743704
"meta_analysis","CICQ","scaled","HALLMARK G2M CHECKPOINT",6,-0.0768955761921908,0.713034993292104,0.0145506113764338,0.0254381317769821,3,0.807519248075192,0.834214099251232
"meta_analysis","CICQ","scaled","HALLMARK GLYCOLYSIS",6,-0.320087589486819,1.81547476539782,0.00487740505879497,0.00937962511306725,2,0.195880411958804,0.234306712869383
"meta_analysis","CICQ","scaled","HALLMARK HEDGEHOG SIGNALING",6,-0.62980433489317,-1.44973637104704,5.44849648171066e-06,1.94589160061095e-05,1,0.0010998900109989,0.00203683335370167
"meta_analysis","CICQ","scaled","HALLMARK HEME METABOLISM",6,2.74612792621073,1.99924754234391,4.02707134306013e-09,2.2881087176478e-08,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","CICQ","scaled","HALLMARK HYPOXIA",6,2.04473899221809,3.85994908088241,4.53765413022111e-07,1.89068922092546e-06,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","CICQ","scaled","HALLMARK IL2 STAT5 SIGNALING",6,1.00228424293625,1.68063279147169,0.000488203360300643,0.00124541673546082,6,0.0040995900409959,0.00636582304502469
"meta_analysis","CICQ","scaled","HALLMARK IL6 JAK STAT3 SIGNALING",6,0.130428132862997,0.794600137639445,4.34459484632832e-06,1.59727751703247e-05,3,0.293070692930707,0.340779875500822
"meta_analysis","CICQ","scaled","HALLMARK INFLAMMATORY RESPONSE",6,2.19155351187267,0.205411144271755,0.675150211732236,0.743382610164431,6,0.0003999600039996,0.000819590172130328
"meta_analysis","CICQ","scaled","HALLMARK INTERFERON ALPHA RESPONSE",6,-0.0157777822792661,0.460897282237073,0.248305525832364,0.3183404177338,4,0.966703329667033,0.966703329667033
"meta_analysis","CICQ","scaled","HALLMARK INTERFERON GAMMA RESPONSE",6,1.11190251240775,-1.51530306778361,0.0242214534459298,0.0401017441157779,4,0.108989101089891,0.136236376362364
"meta_analysis","CICQ","scaled","HALLMARK KRAS SIGNALING DN",6,0.908940344334757,-0.220055254574066,0.354881965177532,0.432782884362844,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","CICQ","scaled","HALLMARK KRAS SIGNALING UP",6,7.16591933258627,8.48424528999576,2.51777487747518e-10,1.74845477602443e-09,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","CICQ","scaled","HALLMARK MITOTIC SPINDLE",6,0.522573922915335,0.764372143662459,0.0037078622180875,0.00747552866549899,5,0.008999100089991,0.0130044798988309
"meta_analysis","CICQ","scaled","HALLMARK MTORC1 SIGNALING",6,1.18243406972984,0.414736785020994,0.393107689499452,0.469296744752933,5,0.0028997100289971,0.00470732147564464
"meta_analysis","CICQ","scaled","HALLMARK MYC TARGETS",6,-0.120989690090118,0.7260779979168,0.00361533632866839,0.00734824457046422,3,0.542045795420458,0.596966735044557
"meta_analysis","CICQ","scaled","HALLMARK MYOGENESIS",6,2.62391808015944,1.70335170655741,0.0508055571487851,0.0779226336637808,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","CICQ","scaled","HALLMARK NOTCH SIGNALING",6,-0.295860764331482,-0.0973081853703304,0.721966905063011,0.777981578731693,1,0.0045995400459954,0.00692701814155934
"meta_analysis","CICQ","scaled","HALLMARK OXIDATIVE PHOSPHORYLATION",6,-0.101035199006244,-0.248653528196191,0.28219511308036,0.358115625736498,1,0.693530646935306,0.734672295482316
"meta_analysis","CICQ","scaled","HALLMARK P53 PATHWAY",6,1.02452341919805,2.20744431711195,0.00318344063392173,0.00652344392197076,3,0.171382861713829,0.207988909846879
"meta_analysis","CICQ","scaled","HALLMARK PANCREAS BETA CELLS",6,-0.00574549755183528,0.115039371358756,0.00128954462260311,0.00293078323318889,2,0.834216578342166,0.853690141189963
"meta_analysis","CICQ","scaled","HALLMARK PEROXISOME",6,0.0403779061914012,0.613521543752685,0.00233195712563061,0.00489906959166095,3,0.836616338366163,0.853690141189963
"meta_analysis","CICQ","scaled","HALLMARK PI3K AKT MTOR SIGNALING",6,0.159986195533452,-0.282005440248689,0.12697975270352,0.17346960751847,3,0.350564943505649,0.402024017781708
"meta_analysis","CICQ","scaled","HALLMARK PROTEIN SECRETION",6,0.330880438418663,0.222326174017441,0.000635527960472837,0.00158881990118209,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","CICQ","scaled","HALLMARK REACTIVE OXYGEN SPECIES PATHWAY",6,-0.274233643752004,-0.350987049365023,1.24606542391189e-08,6.48992408287442e-08,0,9.99900009999e-05,0.00025507653316301
"meta_analysis","CICQ","scaled","HALLMARK SPERMATOGENESIS",6,0.284826296092857,0.0366368259862635,0.579910565727829,0.65305243888269,4,0.0287971202879712,0.0397750280220597
"meta_analysis","CICQ","scaled","HALLMARK TGF BETA SIGNALING",6,0.579669860407413,0.132297368516678,0.680938470910619,0.743382610164431,5,9.99900009999e-05,0.00025507653316301
"meta_analysis","CICQ","scaled","HALLMARK TNFA SIGNALING VIA NFKB",6,-2.16135736052938,-4.55238337561597,8.20544181356782e-06,2.84911174082216e-05,1,0.0003999600039996,0.000819590172130328
"meta_analysis","CICQ","scaled","HALLMARK UNFOLDED PROTEIN RESPONSE",6,0.116284551850076,-0.174830712630815,0.0609242420572386,0.0917533765922268,4,0.106089391060894,0.133278129473485
"meta_analysis","CICQ","scaled","HALLMARK UV RESPONSE DN",6,-0.517985034829728,0.300733309023058,0.527002083449158,0.597147340324044,2,0.0563943605639436,0.0730496898496679
"meta_analysis","CICQ","scaled","HALLMARK UV RESPONSE UP",6,2.03266700354973,0.068835494708934,0.471789808336748,0.548592800391568,5,0.0014998500149985,0.00258594830172155
"meta_analysis","CICQ","scaled","HALLMARK WNT BETA CATENIN SIGNALING",6,0.164040059199501,-0.0392271054762042,0.90558399835036,0.924065304439143,3,0.619238076192381,0.670171078130282
"meta_analysis","CICQ","scaled","HALLMARK XENOBIOTIC METABOLISM",6,-0.81172645662207,-0.505897799165453,0.125022694836035,0.172683280160269,1,0.003999600039996,0.00624937506249375
"meta_analysis","CICQ","scaled","Lysosomal Genes",6,2.93578906937153,2.41777124761922,4.49971738178956e-05,0.000138880166104616,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK ADIPOGENESIS",6,1.10114579690336,1.98827799978045,0.000220359147940385,0.000605382274561499,4,0.0033996600339966,0.00544817313140481
"meta_analysis","SSCQ","scaled","HALLMARK ALLOGRAFT REJECTION",6,0.294345603999689,0.115018025987565,0.991321814715267,0.991321814715267,3,0.393160683931607,0.44398713281825
"meta_analysis","SSCQ","scaled","HALLMARK ANDROGEN RESPONSE",6,-1.43957749185011,-1.05112022839424,3.37550427914087e-07,1.454958741009e-06,0,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK ANGIOGENESIS",6,-2.40817067170742,-1.4594890946004,0.00787127777736634,0.0145764403284562,1,9.99900009999e-05,0.00025507653316301
