label,pathway,contrib_diff_within_study_scaled,contrib_diff_within_study_yugene,n_studies_scaled,n_studies_yugene,p_perm_adj_scaled,p_perm_adj_yugene,studies_positive_scaled,studies_positive_yugene,cons_sc,cons_yg,both_sig,same_sign,ag_sc,n_sc,ag_yg,n_yg,REPORTABLE
CICQ,HALLMARK APOPTOSIS,0.493051873359036,1.22779957943127,6.0,6.0,0.254595393541215,0.0073206965017783,4.0,5.0,0.6666666666666666,0.8333333333333334,False,True,4.0,6.0,5.0,6.0,False
CICQ,HALLMARK COMPLEMENT,3.57139446289848,1.90062957172731,6.0,6.0,0.000255076533163,0.0023807143095214,6.0,4.0,1.0,0.6666666666666666,True,True,6.0,6.0,4.0,6.0,True
CICQ,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,-4.96412348694699,0.360645674070248,6.0,6.0,0.0011717578242175,0.66878905329806,1.0,3.0,0.8333333333333334,0.5,False,False,5.0,6.0,3.0,6.0,False
CICQ,HALLMARK ESTROGEN RESPONSE EARLY,1.64049537300278,1.94646392236871,6.0,6.0,0.0025859483017215,0.0002717119592388,5.0,5.0,0.8333333333333334,0.8333333333333334,True,True,5.0,6.0,5.0,6.0,True
CICQ,HALLMARK ESTROGEN RESPONSE LATE,-0.160022227347837,-0.0562366488162697,6.0,6.0,0.712375570953543,0.836336119474472,2.0,3.0,0.6666666666666666,0.5,False,True,4.0,6.0,3.0,6.0,False
CICQ,HALLMARK FATTY ACID METABOLISM,-0.332678558675162,0.367025771238382,6.0,6.0,0.198760611743704,0.455977129559771,3.0,5.0,0.5,0.8333333333333334,False,False,3.0,6.0,5.0,6.0,False
CICQ,HALLMARK GLYCOLYSIS,-0.320087589486819,0.800138877740423,6.0,6.0,0.234306712869383,0.0348767518457735,2.0,4.0,0.6666666666666666,0.6666666666666666,False,False,4.0,6.0,4.0,6.0,False
CICQ,HALLMARK HYPOXIA,2.04473899221809,-0.32166121273962,6.0,6.0,0.000255076533163,0.547642604160637,6.0,3.0,1.0,0.5,False,False,6.0,6.0,3.0,6.0,False
CICQ,HALLMARK IL2 STAT5 SIGNALING,1.00228424293625,2.82472882965829,6.0,6.0,0.0063658230450246,0.0002717119592388,6.0,5.0,1.0,0.8333333333333334,True,True,6.0,6.0,5.0,6.0,True
CICQ,HALLMARK KRAS SIGNALING UP,7.16591933258627,4.77528065297102,6.0,6.0,0.000255076533163,0.0002717119592388,6.0,6.0,1.0,1.0,True,True,6.0,6.0,6.0,6.0,True
CICQ,HALLMARK MTORC1 SIGNALING,1.18243406972984,0.83460722183907,6.0,6.0,0.0047073214756446,0.0491330177327095,5.0,5.0,0.8333333333333334,0.8333333333333334,True,True,5.0,6.0,5.0,6.0,True
CICQ,HALLMARK MYOGENESIS,2.62391808015944,3.74502103402814,6.0,6.0,0.000255076533163,0.0002717119592388,6.0,6.0,1.0,1.0,True,True,6.0,6.0,6.0,6.0,True
CICQ,HALLMARK P53 PATHWAY,1.02452341919805,3.37311144597113,6.0,6.0,0.207988909846879,0.0006817500068175,3.0,6.0,0.5,1.0,False,True,3.0,6.0,6.0,6.0,False
CICQ,HALLMARK TNFA SIGNALING VIA NFKB,-2.16135736052938,-2.89688339286383,6.0,6.0,0.0008195901721303,0.0002717119592388,1.0,0.0,0.8333333333333334,1.0,True,True,5.0,6.0,6.0,6.0,True
CICQ,HALLMARK UV RESPONSE DN,-0.517985034829728,-1.17809763295237,6.0,6.0,0.0730496898496679,0.015521323684625,2.0,2.0,0.6666666666666666,0.6666666666666666,False,True,4.0,6.0,4.0,6.0,False
CICQ,HALLMARK XENOBIOTIC METABOLISM,-0.81172645662207,1.11867931999046,6.0,6.0,0.0062493750624937,0.03363300033633,1.0,5.0,0.8333333333333334,0.8333333333333334,True,False,5.0,6.0,5.0,6.0,False
CICQ,Lysosomal Genes,2.93578906937153,2.66935067230259,6.0,6.0,0.000255076533163,0.0002717119592388,6.0,6.0,1.0,1.0,True,True,6.0,6.0,6.0,6.0,True
OIS,HALLMARK APOPTOSIS,1.1284897253189,1.3201614370515,15.0,15.0,0.000255076533163,0.0002717119592388,9.0,13.0,0.6,0.8666666666666667,True,True,9.0,15.0,13.0,15.0,True
OIS,HALLMARK COMPLEMENT,3.10438507232412,3.80428456530542,15.0,15.0,0.000255076533163,0.0002717119592388,15.0,13.0,1.0,0.8666666666666667,True,True,15.0,15.0,13.0,15.0,True
OIS,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,7.16332325981756,5.73929587081862,15.0,15.0,0.000255076533163,0.0002717119592388,15.0,15.0,1.0,1.0,True,True,15.0,15.0,15.0,15.0,True
OIS,HALLMARK ESTROGEN RESPONSE EARLY,-0.304601492603585,-0.91042308549172,15.0,15.0,0.210606958627809,0.001470441191175,6.0,5.0,0.6,0.6666666666666666,False,True,9.0,15.0,10.0,15.0,False
OIS,HALLMARK ESTROGEN RESPONSE LATE,-1.70723300456683,0.320238985326678,15.0,15.0,0.000255076533163,0.141191910959658,3.0,9.0,0.8,0.6,False,False,12.0,15.0,9.0,15.0,False
OIS,HALLMARK FATTY ACID METABOLISM,0.855572600920362,1.5114910552208,15.0,15.0,0.000255076533163,0.0002717119592388,12.0,12.0,0.8,0.8,True,True,12.0,15.0,12.0,15.0,True
OIS,HALLMARK GLYCOLYSIS,-1.96331035535619,-1.79186106516012,15.0,15.0,0.000255076533163,0.0002717119592388,1.0,1.0,0.9333333333333332,0.9333333333333332,True,True,14.0,15.0,14.0,15.0,True
OIS,HALLMARK HYPOXIA,-0.0774153223807232,0.867250517531124,15.0,15.0,0.775026664000267,0.0002717119592388,7.0,11.0,0.5333333333333333,0.7333333333333333,False,False,8.0,15.0,11.0,15.0,False
OIS,HALLMARK IL2 STAT5 SIGNALING,-0.668146683187216,-0.797071528706337,15.0,15.0,0.0004807211586533,0.002538808619138,4.0,5.0,0.7333333333333333,0.6666666666666666,True,True,11.0,15.0,10.0,15.0,True
OIS,HALLMARK KRAS SIGNALING UP,6.43818554982542,4.62432090380905,15.0,15.0,0.000255076533163,0.0002717119592388,15.0,15.0,1.0,1.0,True,True,15.0,15.0,15.0,15.0,True
OIS,HALLMARK MTORC1 SIGNALING,1.16905713357811,0.576643695955446,15.0,15.0,0.000255076533163,0.015521323684625,10.0,7.0,0.6666666666666666,0.4666666666666667,True,True,10.0,15.0,7.0,15.0,True
OIS,HALLMARK MYOGENESIS,6.89705727444657,3.1315378210167,15.0,15.0,0.000255076533163,0.0002717119592388,15.0,14.0,1.0,0.9333333333333332,True,True,15.0,15.0,14.0,15.0,True
OIS,HALLMARK P53 PATHWAY,1.3111444562141,4.37465180422615,15.0,15.0,0.000255076533163,0.0002717119592388,10.0,14.0,0.6666666666666666,0.9333333333333332,True,True,10.0,15.0,14.0,15.0,True
