pathway,n_clock_scaled,n_nonzero_scaled,eff_n_scaled,top1_scaled,top5_scaled,n_clock_yugene,n_nonzero_yugene,eff_n_yugene,top1_yugene,top5_yugene,eff_n_min,tier
HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,153,55,20.910471324809652,0.109810200692105,0.40625756023567827,153,57,26.192485289891955,0.07581629877512998,0.33292863590765087,20.910471324809652,WELL
HALLMARK ESTROGEN RESPONSE EARLY,150,50,22.570698558878746,0.10390928300154824,0.3539711755856058,150,48,17.659783811247085,0.13141959811833473,0.4383498207591092,17.659783811247085,WELL
HALLMARK TNFA SIGNALING VIA NFKB,164,50,16.325526311533736,0.16429439695543327,0.4425831776272083,164,47,19.12932876072573,0.15005498678049978,0.3951570649549489,16.325526311533736,WELL
HALLMARK ESTROGEN RESPONSE LATE,150,44,21.726993259693078,0.11188701329311643,0.3712459673149437,150,37,16.199891975628464,0.12476313244250278,0.4582397739235701,16.199891975628464,WELL
HALLMARK IL2 STAT5 SIGNALING,148,35,16.166854071852214,0.1531835195315139,0.42018502394624613,148,47,17.36560751756696,0.1187996814319967,0.44736295911678675,16.166854071852214,WELL
HALLMARK MYOGENESIS,156,52,16.048019295411553,0.14367462777379836,0.4572048296298401,156,44,17.880466871933535,0.1317735158716688,0.4146817702137137,16.048019295411553,WELL
HALLMARK P53 PATHWAY,141,36,17.602898665208038,0.1361592701410206,0.4130918871413273,141,36,15.045907083937996,0.15490299704573843,0.4705616521272645,15.045907083937996,WELL
HALLMARK HYPOXIA,142,32,14.425689360738193,0.13841296044248,0.5163984009229063,142,46,14.904590544548224,0.14475599437256187,0.48526084115070506,14.425689360738193,WELL
HALLMARK GLYCOLYSIS,139,30,13.991508608522457,0.1679014401964685,0.48219219107176975,139,34,14.530140847569221,0.17463573808736643,0.455241437367751,13.991508608522457,MODERATE
HALLMARK XENOBIOTIC METABOLISM,136,38,12.192367641160955,0.17676084387348617,0.52359128645129,136,43,12.42172815000137,0.22340347408715444,0.4681882308575263,12.192367641160955,MODERATE
Lysosomal Genes,138,22,11.960661388226887,0.14456280494370666,0.5498288440098525,138,34,18.30092680429356,0.09709001516183596,0.4301377894969008,11.960661388226887,MODERATE
HALLMARK FATTY ACID METABOLISM,107,24,10.499635272981491,0.17251939101725805,0.5875378801153107,107,28,11.351048083427065,0.1542839276391262,0.5929402259060065,10.499635272981491,MODERATE
HALLMARK APOPTOSIS,123,25,12.075269096303748,0.1964264888093741,0.5119033853320439,123,22,9.864072574950908,0.20068160455216932,0.6298791661369099,9.864072574950908,MODERATE
HALLMARK COMPLEMENT,127,35,9.851007071687977,0.222837167090969,0.5965564174481506,127,35,13.139123112054486,0.16242321582639055,0.5324302952642582,9.851007071687977,MODERATE
HALLMARK MTORC1 SIGNALING,131,28,9.693348434895245,0.22978552927849824,0.6047742000936667,131,30,11.91634352494805,0.1643229986377361,0.567435840477961,9.693348434895245,MODERATE
HALLMARK KRAS SIGNALING UP,155,46,11.972658199586542,0.1871730770410974,0.5190301386787881,155,44,8.311141778227835,0.30288318196451414,0.5771942896680258,8.311141778227835,POOR
HALLMARK UV RESPONSE DN,128,30,8.01199504425385,0.29799295166040196,0.5917240749402668,128,42,14.774902975668228,0.1542063881599584,0.4975874656256015,8.01199504425385,POOR
HALLMARK INTERFERON GAMMA RESPONSE,134,30,9.227577521574839,0.20817617690250176,0.6649005785353842,134,33,8.0110378798329,0.23400767396978148,0.6807555846892482,8.0110378798329,POOR
HALLMARK ADIPOGENESIS,142,23,7.089360166379883,0.2383586607541329,0.7092934946146505,142,32,13.00603491523129,0.19273543560399944,0.48639902780528127,7.089360166379883,POOR
HALLMARK INFLAMMATORY RESPONSE,146,34,7.919265922945937,0.2661893338171373,0.6525171204828685,146,37,6.5019209774535875,0.34566539914975736,0.6333915613877169,6.5019209774535875,POOR
HALLMARK APICAL JUNCTION,152,33,6.342619265988772,0.2813283643262234,0.6998169162641102,152,33,8.162475272673124,0.2888661401963778,0.6211380818524302,6.342619265988772,POOR
HALLMARK CHOLESTEROL HOMEOSTASIS,58,11,6.239279203726814,0.23430027302832712,0.8470970614230533,58,14,7.758438856726858,0.2027188760653731,0.7146491881722487,6.239279203726814,POOR
HALLMARK UNFOLDED PROTEIN RESPONSE,79,9,6.188248410262925,0.2714309504407173,0.7935361282798568,79,11,8.25706239419122,0.2139390208976852,0.6580401812268699,6.188248410262925,POOR
HALLMARK PEROXISOME,78,13,6.180767654989491,0.2285287890378952,0.8371074402835019,78,20,9.798050927524079,0.17026066387613004,0.6332686904863387,6.180767654989491,POOR
HALLMARK INTERFERON ALPHA RESPONSE,66,13,5.881639244770346,0.35278017920983507,0.7122113866401765,66,15,6.959209209113563,0.2658580890589417,0.6957670383227401,5.881639244770346,POOR
HALLMARK COAGULATION,77,20,5.690257022210496,0.3354447143626471,0.7162810125103017,77,18,6.860961110729833,0.2829872333591171,0.7353742270655556,5.690257022210496,POOR
HALLMARK TGF BETA SIGNALING,40,11,6.242019996858667,0.22402207058011803,0.8653405370526533,40,10,5.686908806383934,0.30639824836728285,0.8193689535651789,5.686908806383934,POOR
HALLMARK HEME METABOLISM,142,20,5.664372722669292,0.36859816779891263,0.7156460146107233,142,34,9.58375731991997,0.2649360847700291,0.5378224753028626,5.664372722669292,POOR
HALLMARK ALLOGRAFT REJECTION,133,28,6.522814742164982,0.30103584230163866,0.7424366834122447,133,31,5.450421123828952,0.3759023968238591,0.7286948001325292,5.450421123828952,POOR
HALLMARK IL6 JAK STAT3 SIGNALING,57,13,6.370161489442392,0.25786081384482845,0.8230029604106425,57,18,5.081007449461044,0.37383447414503634,0.7902642121676157,5.081007449461044,POOR
HALLMARK DNA REPAIR,93,12,5.0061863002757585,0.30468645351194684,0.8761678327478025,93,16,9.405700378719265,0.1752115413202825,0.6440026178895291,5.0061863002757585,POOR
HALLMARK UV RESPONSE UP,104,21,4.99551520502801,0.39074534922394805,0.7518349174886225,104,23,4.987576449716226,0.3767181163482612,0.7929467798653784,4.987576449716226,POOR
HALLMARK ANDROGEN RESPONSE,75,15,7.206970412186863,0.22581300696834128,0.7463286992881484,75,20,4.971158856969752,0.3953453379259496,0.7573277079088631,4.971158856969752,POOR
HALLMARK OXIDATIVE PHOSPHORYLATION,103,11,4.573300277740496,0.34288393798208544,0.8672534715287693,103,18,8.697932397747365,0.23363192089699952,0.6431273737238529,4.573300277740496,POOR
HALLMARK ANGIOGENESIS,28,8,3.876064591109508,0.43424703612751403,0.9005975791129384,28,9,4.534916593853872,0.3743205270667198,0.8782372758935689,3.876064591109508,POOR
HALLMARK E2F TARGETS,136,18,3.863495184208737,0.42309867807931806,0.8543116552529955,136,19,4.251295312667534,0.4531968646978122,0.7362099750164749,3.863495184208737,POOR
HALLMARK SPERMATOGENESIS,74,12,3.7582617372092124,0.3841208991028448,0.9660407005586851,74,11,3.432321584221579,0.40960332544950145,0.9574786128061208,3.432321584221579,POOR
HALLMARK MITOTIC SPINDLE,159,18,3.4223811859507594,0.5182251090170867,0.7644403951796669,159,25,7.851197044452648,0.3112006640781582,0.5855012579641671,3.4223811859507594,POOR
HALLMARK G2M CHECKPOINT,142,17,3.4025892747020294,0.5174044190681419,0.7856038498719495,142,20,4.717781372373674,0.42956449937411495,0.6773148448418023,3.4025892747020294,POOR
HALLMARK NOTCH SIGNALING,26,4,3.4539595522361175,0.3700117081674236,1.0,26,5,3.3766322666882407,0.4574549021877112,0.9999999999999999,3.3766322666882407,POOR
HALLMARK KRAS SIGNALING DN,110,31,9.056939134409976,0.2522998646940239,0.593279486109034,110,21,3.3433468500778796,0.5028710023810358,0.8554102917831156,3.3433468500778796,POOR
HALLMARK BILE ACID METABOLISM,79,16,3.1199700364641854,0.5390163559222829,0.868741021506804,79,22,9.77763240770891,0.15713506836022578,0.6441925670649743,3.1199700364641854,POOR
HALLMARK MYC TARGETS,137,11,2.9853587805175947,0.5125640673207147,0.9164392845764774,137,18,6.715407458624305,0.3257077824645527,0.6781009183870829,2.9853587805175947,POOR
HALLMARK HEDGEHOG SIGNALING,32,8,3.5941528911626186,0.3714208073513298,0.9741684765855283,32,7,2.9076155116294857,0.52424048172727,0.9595132637489912,2.9076155116294857,POOR
HALLMARK WNT BETA CATENIN SIGNALING,29,4,2.7079946392053613,0.4312853863092465,1.0,29,4,2.968320033383318,0.41985347870658246,1.0,2.7079946392053613,POOR
HALLMARK APICAL SURFACE,31,6,2.554157683615916,0.5202000740271012,0.9931092692774075,31,12,7.766165062302762,0.19421449473569274,0.7405846820713644,2.554157683615916,POOR
HALLMARK PANCREAS BETA CELLS,19,5,2.470729409951198,0.46027384378978664,1.0,19,5,2.6937181583776613,0.47760932291234015,0.9999999999999999,2.470729409951198,POOR
HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,28,5,3.4249812273597517,0.41756491406232815,1.0000000000000002,28,3,2.4006186503598164,0.543880610670947,1.0,2.4006186503598164,POOR
HALLMARK PROTEIN SECRETION,76,5,3.5163029193428406,0.36168813739940336,0.9999999999999998,76,9,2.389181328362833,0.6232916307188976,0.9387027284225158,2.389181328362833,POOR
HALLMARK PI3K AKT MTOR SIGNALING,77,11,1.8164807478941294,0.7343492939279557,0.9274732244599562,77,12,7.268566069428432,0.23235345383302758,0.7397807629200754,1.8164807478941294,POOR
