pathway,n_clock_mortality,n_nonzero_mortality,eff_n_mortality,top1_mortality,top5_mortality,top5_max,top1_max,eff_n_min,interpretable,tier
HALLMARK ESTROGEN RESPONSE EARLY,150,150,61.402230512228414,0.031892635596420554,0.1557387937358077,0.1557387937358077,0.031892635596420554,61.402230512228414,True,INTERPRETABLE
HALLMARK TNFA SIGNALING VIA NFKB,164,164,73.481704968258,0.042811315503132746,0.15820377717121326,0.15820377717121326,0.042811315503132746,73.481704968258,True,INTERPRETABLE
HALLMARK MITOTIC SPINDLE,159,159,69.20139654995607,0.04433772029706026,0.16670344621082206,0.16670344621082206,0.04433772029706026,69.20139654995607,True,INTERPRETABLE
HALLMARK ESTROGEN RESPONSE LATE,150,150,61.17228843577352,0.03746088080361157,0.17128415936695401,0.17128415936695401,0.03746088080361157,61.17228843577352,True,INTERPRETABLE
HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,153,153,66.32915838649686,0.05378697518088292,0.17154117801294524,0.17154117801294524,0.05378697518088292,66.32915838649686,True,INTERPRETABLE
HALLMARK G2M CHECKPOINT,142,142,59.67341437136341,0.04129069920722609,0.17779377048338607,0.17779377048338607,0.04129069920722609,59.67341437136341,True,INTERPRETABLE
HALLMARK IL2 STAT5 SIGNALING,148,148,54.921342731792265,0.05847048486572814,0.19418618340611388,0.19418618340611388,0.05847048486572814,54.921342731792265,True,INTERPRETABLE
HALLMARK DNA REPAIR,93,93,50.961177351309615,0.047361168632536324,0.19535022020924597,0.19535022020924597,0.047361168632536324,50.961177351309615,True,INTERPRETABLE
HALLMARK OXIDATIVE PHOSPHORYLATION,103,103,50.739700122787475,0.05143077140829281,0.19559143833175668,0.19559143833175668,0.05143077140829281,50.739700122787475,True,INTERPRETABLE
HALLMARK XENOBIOTIC METABOLISM,136,136,48.5485834715106,0.06931328884597628,0.21171522678982227,0.21171522678982227,0.06931328884597628,48.5485834715106,True,INTERPRETABLE
HALLMARK MTORC1 SIGNALING,131,131,47.08942306372699,0.07841334576766852,0.21224780323601017,0.21224780323601017,0.07841334576766852,47.08942306372699,True,INTERPRETABLE
HALLMARK E2F TARGETS,136,136,50.57476852594108,0.0833383970958848,0.21608080386411713,0.21608080386411713,0.0833383970958848,50.57476852594108,True,INTERPRETABLE
HALLMARK APICAL JUNCTION,152,152,50.04614506384529,0.06258235911902882,0.21722580286640017,0.21722580286640017,0.06258235911902882,50.04614506384529,True,INTERPRETABLE
HALLMARK MYC TARGETS,137,137,53.15521908494329,0.07332914663027887,0.21878134565139057,0.21878134565139057,0.07332914663027887,53.15521908494329,True,INTERPRETABLE
HALLMARK MYOGENESIS,156,156,48.91373373374427,0.0699823741861759,0.22471052432309324,0.22471052432309324,0.0699823741861759,48.91373373374427,True,INTERPRETABLE
HALLMARK INFLAMMATORY RESPONSE,146,146,45.752984067614726,0.0642815262767869,0.22839067757148773,0.22839067757148773,0.0642815262767869,45.752984067614726,True,INTERPRETABLE
HALLMARK HYPOXIA,142,142,48.71474452987229,0.07273194979859052,0.2306643657667557,0.2306643657667557,0.07273194979859052,48.71474452987229,True,INTERPRETABLE
HALLMARK GLYCOLYSIS,139,139,46.039678975571796,0.06727759666761413,0.23184444443277624,0.23184444443277624,0.06727759666761413,46.039678975571796,True,INTERPRETABLE
HALLMARK INTERFERON GAMMA RESPONSE,134,134,44.546410780305344,0.0706336589835273,0.23355125984011005,0.23355125984011005,0.0706336589835273,44.546410780305344,True,INTERPRETABLE
HALLMARK UV RESPONSE DN,128,128,46.08339487838475,0.07465233691784287,0.23549602570864264,0.23549602570864264,0.07465233691784287,46.08339487838475,True,INTERPRETABLE
HALLMARK ADIPOGENESIS,142,142,44.784303445641406,0.05566412886751018,0.2376049810460459,0.2376049810460459,0.05566412886751018,44.784303445641406,True,INTERPRETABLE
HALLMARK FATTY ACID METABOLISM,107,107,40.456162430264705,0.06113294691221768,0.2392122946313775,0.2392122946313775,0.06113294691221768,40.456162430264705,True,INTERPRETABLE
HALLMARK P53 PATHWAY,141,141,41.52521091506436,0.09492545075617152,0.2409500248282541,0.2409500248282541,0.09492545075617152,41.52521091506436,True,INTERPRETABLE
HALLMARK COMPLEMENT,127,127,42.63074320167101,0.07823784579320868,0.24114309630292924,0.24114309630292924,0.07823784579320868,42.63074320167101,True,INTERPRETABLE
HALLMARK HEME METABOLISM,142,142,47.15649107115461,0.06399806235736254,0.2424651555425972,0.2424651555425972,0.06399806235736254,47.15649107115461,True,INTERPRETABLE
