"pathway","n_pathway_genes","n_in_expression_data","n_overlap_EN_model_features","pct_of_model_populated","status","n_sips","n_prolif","median_scaled_diff_SIPS","median_scaled_diff_Prolif","wilcox_p_scaled","median_yugene_diff_SIPS","median_yugene_diff_Prolif","wilcox_p_yugene","p_adj_scaled","p_adj_yugene"
"HALLMARK_ADIPOGENESIS",200,190,136,1.3,"OK",39,91,5.23567618748305,2.55161527097349,1.68395044979341e-05,5.01272797048394,1.79382012682216,4.49862369578113e-13,3.66076184737699e-05,5.62327961972642e-12
"HALLMARK_ALLOGRAFT_REJECTION",200,117,81,0.77,"OK",39,91,4.02952221125367,1.93682026217036,8.2387469071632e-05,3.42763889948261,0.868817470793686,6.24405275455597e-05,0.0001716405605659,0.000135740277272956
"HALLMARK_ANDROGEN_RESPONSE",101,94,72,0.69,"OK",39,91,1.00863027168622,2.021084229811,4.72195810683295e-14,1.98643328070597,1.54389609864114,0.706951747143045,4.72195810683295e-13,0.75207632674792
"HALLMARK_ANGIOGENESIS",36,30,27,0.26,"OK",39,91,2.42174571626035,1.86900983710263,0.189940388663703,1.36326647986076,1.1763570470857,0.0222424780065291,0.220860917050818,0.0370707966775485
"HALLMARK_APICAL_JUNCTION",200,164,130,1.24,"OK",39,91,3.01955662974241,1.96475546283982,0.0022250046363903,3.96810924051519,1.05074143128792,3.18297166401749e-10,0.00347656974435985,1.76831759112083e-09
"HALLMARK_APICAL_SURFACE",44,32,24,0.23,"OK",39,91,2.21377151642896,2.21152894113159,0.274702916086776,1.25319569666886,1.2666414249754,0.680694024730309,0.298590126181278,0.75207632674792
"HALLMARK_APOPTOSIS",161,145,112,1.07,"OK",39,91,3.97285206868932,2.52273811711948,2.16699502786355e-09,0.696022579319686,0.949766898038573,0.56590650909724,7.73926795665554e-09,0.658030824531675
"HALLMARK_BILE_ACID_METABOLISM",112,79,63,0.6,"OK",39,91,1.63578567426713,2.01127305457567,0.213238493993577,2.49033007474946,1.58540335663277,2.44783748826194e-10,0.242316470447247,1.52989843016371e-09
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",74,69,56,0.53,"OK",39,91,1.87800909562897,2.32580823587011,0.0416240457341962,1.46599941580355,1.62862632361475,0.216998487427167,0.0562487104516165,0.301386788093287
"HALLMARK_COAGULATION",138,98,66,0.63,"OK",39,91,2.6302727305439,2.09780673520422,0.00155019616773799,2.64127051215284,1.66403073189465,0.00157748346234121,0.00250031639957741,0.00281693475418073
