"label","pathway","model","n_genes_used","n_test","n_control","point_d","ci_low","ci_high","pct_agree_sign"
"Replicative CS","HALLMARK_MITOTIC_SPINDLE","scaled_diff_EN_tAge",198,11,91,2.64321365847479,2.03911784681863,3.45691335174922,100
"Replicative CS","HALLMARK_MITOTIC_SPINDLE","yugene_diff_EN_tAge",198,11,91,2.77455300475945,2.23302907552104,3.39597966197111,100
"Stress-induced CS","HALLMARK_MITOTIC_SPINDLE","scaled_diff_EN_tAge",198,39,91,2.20642685975606,1.81856305219111,2.76453886395762,100
"Stress-induced CS","HALLMARK_MITOTIC_SPINDLE","yugene_diff_EN_tAge",198,39,91,2.13986111628924,1.79619617991943,2.59218402644426,100
"Oncogene-induced CS","HALLMARK_MITOTIC_SPINDLE","scaled_diff_EN_tAge",198,48,91,1.42917597242114,0.938143943961459,2.04995318122449,100
"Oncogene-induced CS","HALLMARK_MITOTIC_SPINDLE","yugene_diff_EN_tAge",198,48,91,1.22717409012564,0.78039097209506,1.76850181020972,100
"Oncogene-induced CS","HALLMARK_NOTCH_SIGNALING","scaled_diff_EN_tAge",30,48,91,-2.24491795722246,-2.81820594271183,-1.75304446446383,100
"Oncogene-induced CS","HALLMARK_NOTCH_SIGNALING","yugene_diff_EN_tAge",30,48,91,-1.74931226571949,-2.31493648519591,-1.34277564075262,100
"Oncogene-induced CS","HALLMARK_INTERFERON_GAMMA_RESPONSE","scaled_diff_EN_tAge",170,48,91,1.01671445248295,0.653785380164948,1.40575575862064,100
"Oncogene-induced CS","HALLMARK_INTERFERON_GAMMA_RESPONSE","yugene_diff_EN_tAge",170,48,91,2.42076105626415,2.02264878932886,2.91884279721216,100
"Replicative CS","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","scaled_diff_EN_tAge",46,11,91,-1.97600011426605,-2.70704124755323,-1.46559377809017,100
"Replicative CS","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","yugene_diff_EN_tAge",46,11,91,-1.96181952846484,-2.99482749790021,-1.25198743517619,100
"Stress-induced CS","HALLMARK_PI3K_AKT_MTOR_SIGNALING","scaled_diff_EN_tAge",93,39,91,1.76509268840351,1.48364241923086,2.28967741470377,100
"Stress-induced CS","HALLMARK_PI3K_AKT_MTOR_SIGNALING","yugene_diff_EN_tAge",93,39,91,1.12748069065409,0.921218326093207,1.47049912787517,100
"Oncogene-induced CS","HALLMARK_PI3K_AKT_MTOR_SIGNALING","scaled_diff_EN_tAge",93,48,91,1.2238407459061,0.738996506123883,1.91531990333114,100
"Oncogene-induced CS","HALLMARK_PI3K_AKT_MTOR_SIGNALING","yugene_diff_EN_tAge",93,48,91,0.71497257273149,0.31969459520761,1.16285451779307,100
"Melanocyte","HALLMARK_INTERFERON_ALPHA_RESPONSE","scaled_diff_EN_tAge",93,18,6,-12.113708130275,-17.676304677604,-10.250238630599,100
"Melanocyte","HALLMARK_INTERFERON_ALPHA_RESPONSE","yugene_diff_EN_tAge",93,18,6,-7.28867965931911,-10.2519620922055,-6.0788251565169,100
"Melanocyte","HALLMARK_DNA_REPAIR","scaled_diff_EN_tAge",147,18,6,2.08586149199723,1.519742121831,3.56440871403726,100
"Melanocyte","HALLMARK_DNA_REPAIR","yugene_diff_EN_tAge",147,18,6,3.98272862952385,3.40158453947527,6.06056005582154,100
"Fibroblast","HALLMARK_DNA_REPAIR","scaled_diff_EN_tAge",147,18,6,0.807815888453311,-0.293374480241208,2.05747379015718,93.2
"Fibroblast","HALLMARK_DNA_REPAIR","yugene_diff_EN_tAge",147,18,6,1.89127799214444,0.911724176493927,3.91963417236252,100
"Keratinocyte","HALLMARK_MTORC1_SIGNALING","scaled_diff_EN_tAge",195,18,6,2.40300212828706,1.69747038722552,3.83879817224312,100
"Keratinocyte","HALLMARK_MTORC1_SIGNALING","yugene_diff_EN_tAge",195,18,6,2.69689846257553,1.98136714192013,4.10963496179146,100
"Melanocyte","HALLMARK_MTORC1_SIGNALING","scaled_diff_EN_tAge",194,18,6,9.33356687268174,7.64697609952253,14.2581250276162,100
"Melanocyte","HALLMARK_MTORC1_SIGNALING","yugene_diff_EN_tAge",194,18,6,2.00660746189088,1.42390055464107,3.02205070949063,100
"Melanocyte","HALLMARK_IL6_JAK_STAT3_SIGNALING","scaled_diff_EN_tAge",56,18,6,-0.411589276971021,-1.2933022814948,0.311459031394689,87.4
"Melanocyte","HALLMARK_IL6_JAK_STAT3_SIGNALING","yugene_diff_EN_tAge",56,18,6,3.12884462862768,2.31869285486278,4.76484231258308,100
