"cell_type","timepoint","pathway","n_pathway_genes","n_in_expression_data","n_overlap_EN_model_features","status","n_test","n_control","cohens_d_scaled","wilcox_p_scaled","cohens_d_yugene","wilcox_p_yugene","p_adj_scaled","p_adj_yugene","efficiency_score_scaled","efficiency_score_yugene"
"Fibroblast","4_days","HALLMARK_ADIPOGENESIS",200,187,135,"OK",6,6,1.36985847941222,0.17965367965368,5.56736876906771,0.00216450216450216,0.2245670995671,0.00496952027564273,0.192991305674806,0.784353846812371
"Fibroblast","4_days","HALLMARK_ALLOGRAFT_REJECTION",200,104,75,"OK",6,6,4.10091097804964,0.00216450216450216,3.69130590968156,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.654388170303772,0.589026909678696
"Fibroblast","4_days","HALLMARK_ANDROGEN_RESPONSE",101,88,66,"OK",6,6,-11.8463694144608,0.00216450216450216,-2.65733351089629,0.00216450216450216,0.00450937950937951,0.00496952027564273,1.94602738832122,0.436525623267785
"Fibroblast","4_days","HALLMARK_ANGIOGENESIS",36,27,26,"OK",6,6,-0.763002470932425,0.30952380952381,-0.680863024630804,0.937229437229437,0.36367027228646,0.956356568601467,0.158715652017191,0.141629448141388
"Fibroblast","4_days","HALLMARK_APICAL_JUNCTION",200,147,121,"OK",6,6,11.6201793570042,0.00216450216450216,7.86979437251807,0.00216450216450216,0.00450937950937951,0.00496952027564273,1.67377098716431,1.13356542020412
"Fibroblast","4_days","HALLMARK_APICAL_SURFACE",44,26,22,"OK",6,6,5.55348926979863,0.00216450216450216,-0.854063713272065,0.17965367965368,0.00450937950937951,0.248751248751249,1.21123984523868,0.186274961493738
"Fibroblast","4_days","HALLMARK_APOPTOSIS",161,140,107,"OK",6,6,0.951756784769281,0.17965367965368,3.23716676325733,0.00216450216450216,0.2245670995671,0.00496952027564273,0.140622172668244,0.478291755649552
"Fibroblast","4_days","HALLMARK_BILE_ACID_METABOLISM",112,71,58,"OK",6,6,2.56184229261391,0.0151515151515152,7.67599156801644,0.00216450216450216,0.0259246456965088,0.00496952027564273,0.4337040361842,1.29949783964564
"Fibroblast","4_days","HALLMARK_CHOLESTEROL_HOMEOSTASIS",74,67,55,"OK",6,6,-3.51277392413255,0.00216450216450216,-1.56337954424277,0.0411255411255411,0.00450937950937951,0.0706354713988302,0.602235584007591,0.268028291369496
"Fibroblast","4_days","HALLMARK_COAGULATION",138,86,61,"OK",6,6,2.85016141409545,0.00216450216450216,0.339698330386283,0.588744588744589,0.00450937950937951,0.669027941755215,0.476832514216028,0.0568315914151428
