"model","n","median","IQR","SD","range","n_studies","study_median_range","study_median_IQR","cell_line_median_range","test","attribute","n_levels","statistic","p","p_adj","level","level_a","level_b","n_a","n_b","median_diff"
"scaled_diff",91,2.60739854954245,45.4307929712869,27.3485607402736,103.95857551681,32,87.8077965710364,47.3589538620617,56.9441361826966,"control_spread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yugene_diff",91,0.960679264500986,18.7336928660605,15.7399663634025,79.9416524491418,32,71.9514457942901,15.9364795749781,24.851531832756,"control_spread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scaled_diff",91,NA,NA,NA,NA,NA,NA,NA,NA,"kruskal_within_proliferating","cell_line",7,64.3755564311465,5.78556824928408e-12,1.15711364985682e-11,NA,NA,NA,NA,NA,NA
"yugene_diff",91,NA,NA,NA,NA,NA,NA,NA,NA,"kruskal_within_proliferating","cell_line",7,23.0862427427645,0.000768102200135823,0.00153620440027165,NA,NA,NA,NA,NA,NA
"scaled_diff",91,NA,NA,NA,NA,NA,NA,NA,NA,"kruskal_within_proliferating","tissue",3,54.5615251462721,1.41943448571243e-12,5.67773794284973e-12,NA,NA,NA,NA,NA,NA
"yugene_diff",91,NA,NA,NA,NA,NA,NA,NA,NA,"kruskal_within_proliferating","tissue",3,6.68636845691725,0.035324297814966,0.0368056205488233,NA,NA,NA,NA,NA,NA
"scaled_diff",91,NA,NA,NA,NA,NA,NA,NA,NA,"kruskal_within_proliferating","immortalised",2,14.6224545954871,0.000131340246167293,0.000131340246167293,NA,NA,NA,NA,NA,NA
"yugene_diff",91,NA,NA,NA,NA,NA,NA,NA,NA,"kruskal_within_proliferating","immortalised",2,4.35938359933959,0.0368056205488233,0.0368056205488233,NA,NA,NA,NA,NA,NA
"scaled_diff",68,NA,NA,NA,NA,NA,NA,NA,NA,"kruskal_within_proliferating","study",17,61.7142654163115,2.68467297783153e-07,3.57956397044204e-07,NA,NA,NA,NA,NA,NA
"yugene_diff",68,NA,NA,NA,NA,NA,NA,NA,NA,"kruskal_within_proliferating","study",17,60.4158851946576,4.45328328007045e-07,1.78131331202818e-06,NA,NA,NA,NA,NA,NA
"scaled_diff",6,35.5053341179504,18.554297865843,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","cell_line",NA,NA,NA,NA,"BJ",NA,NA,NA,NA,NA
"scaled_diff",3,44.208838986892,6.1741722748368,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","cell_line",NA,NA,NA,NA,"BJ hTERT",NA,NA,NA,NA,NA
