external_id,study,geo,series,condition,title,line_token_sample,characteristics,immortalisation_term_in_sample_record,matched_term,cell_line_resolved_studylevel,immortalised_studylevel,AGREES
SRR2095296,SRP060598,GSM1816172,GSE70668,Proliferating,DD1_ERRAS_uninduced,IMR90,cell line: IMR90,False,,IMR90,no,True
SRR2095297,SRP060598,GSM1816173,GSE70668,Proliferating,DD2_ERRAS_uninduced,IMR90,cell line: IMR90,False,,IMR90,no,True
SRR2095298,SRP060598,GSM1816174,GSE70668,Proliferating,DD3_ERRAS_uninduced,IMR90,cell line: IMR90,False,,IMR90,no,True
SRR2095299,SRP060598,GSM1816175,GSE70668,Oncogene-induced CS,DD4_ERRAS_4days-induced,IMR90,cell line: IMR90,False,,IMR90,no,True
SRR2095300,SRP060598,GSM1816176,GSE70668,Oncogene-induced CS,DD5_ERRAS_4days-induced,IMR90,cell line: IMR90,False,,IMR90,no,True
SRR2095301,SRP060598,GSM1816177,GSE70668,Oncogene-induced CS,DD6_ERRAS_4days-induced,IMR90,cell line: IMR90,False,,IMR90,no,True
SRR4241042,SRP089801,GSM2309729,GSE86867,Contact_inhibited CQ,WT_Qui_1,HCA2-hTert,cell type: HCA2-hTert | tissue: primary fibroblasts,True,hTert,HCA2-hTERT,yes,True
SRR4241043,SRP089801,GSM2309730,GSE86867,Contact_inhibited CQ,WT_Qui_2,HCA2-hTert,cell type: HCA2-hTert | tissue: primary fibroblasts,True,hTert,HCA2-hTERT,yes,True
SRR4241044,SRP089801,GSM2309731,GSE86867,Contact_inhibited CQ,WT_Qui_3,HCA2-hTert,cell type: HCA2-hTert | tissue: primary fibroblasts,True,hTert,HCA2-hTERT,yes,True
SRR4241039,SRP089801,GSM2309726,GSE86867,Proliferating,WT_Div_1,HCA2-hTert,cell type: HCA2-hTert | tissue: primary fibroblasts,True,hTert,HCA2-hTERT,yes,True
SRR4241040,SRP089801,GSM2309727,GSE86867,Proliferating,WT_Div_2,HCA2-hTert,cell type: HCA2-hTert | tissue: primary fibroblasts,True,hTert,HCA2-hTERT,yes,True
SRR4241041,SRP089801,GSM2309728,GSE86867,Proliferating,WT_Div_3,HCA2-hTert,cell type: HCA2-hTert | tissue: primary fibroblasts,True,hTert,HCA2-hTERT,yes,True
SRR1197244,SRP040243,GSM1348980,GSE55949,Proliferating,Growing,IMR90,tissue: Lung | cell line: IMR90 | passage: 16,False,,IMR90,no,True
SRR1197245,SRP040243,GSM1348981,GSE55949,Oncogene-induced CS,Oncogene-induced senescence,IMR90,tissue: Lung | cell line: IMR90 | passage: 16,False,,IMR90,no,True
