"test","model","n_groups","within_celltype_rho","between_celltype_rho","gap","p_perm","cell_type","mean_rho","pc1","pc1_2","pc1_3","n_pc_for_80","PC1_mean","PC2_mean","PC3_mean","PC","between_ss_frac","n_sets_in_3_celltypes","n_sets_in_2","n_sets_in_1","sets_in_3","mean_rho_between_conditions","n_all_sets","n_interpretable"
"profile_similarity","scaled",9,0.839754568494064,0.27167311368992,0.568081454804144,0.0036996300369963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"within_one_celltype","scaled",NA,NA,NA,NA,NA,"Fibroblast",0.928419367747099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"within_one_celltype","scaled",NA,NA,NA,NA,NA,"Keratinocyte",0.723761504601841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"within_one_celltype","scaled",NA,NA,NA,NA,NA,"Melanocyte",0.867082833133253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pca_variance","scaled",NA,NA,NA,NA,NA,NA,NA,0.675134361845861,0.866732741834755,0.935425686435928,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pc_scores_by_celltype","scaled",NA,NA,NA,NA,NA,"Fibroblast",NA,NA,NA,NA,NA,-1.7989192806656,2.79412354718918,0.496898163044801,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pc_scores_by_celltype","scaled",NA,NA,NA,NA,NA,"Keratinocyte",NA,NA,NA,NA,NA,-3.77907693101472,-2.04352040347877,-0.622437988316212,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pc_scores_by_celltype","scaled",NA,NA,NA,NA,NA,"Melanocyte",NA,NA,NA,NA,NA,5.57799621168032,-0.750603143710409,0.125539825271411,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pc_celltype_separation","scaled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.965615057189153,NA,NA,NA,NA,NA,NA,NA
"pc_celltype_separation","scaled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.877822914570536,NA,NA,NA,NA,NA,NA,NA
"pc_celltype_separation","scaled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.126865049101464,NA,NA,NA,NA,NA,NA,NA
"breadth_pooled","scaled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15,20,"HALLMARK ADIPOGENESIS; HALLMARK APICAL JUNCTION; HALLMARK APICAL SURFACE; HALLMARK COMPLEMENT; HALLMARK E2F TARGETS; HALLMARK ESTROGEN RESPONSE LATE; HALLMARK HEDGEHOG SIGNALING; HALLMARK INFLAMMATORY RESPONSE; HALLMARK MTORC1 SIGNALING; HALLMARK OXIDATIVE PHOSPHORYLATION; HALLMARK P53 PATHWAY; HALLMARK PEROXISOME; HALLMARK PI3K AKT MTOR SIGNALING; HALLMARK UV RESPONSE UP",NA,NA,NA
"profile_similarity","yugene",9,0.761301854074963,0.253187497221111,0.508114356853853,0.002999700029997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"within_one_celltype","yugene",NA,NA,NA,NA,NA,"Fibroblast",0.857126850740296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"within_one_celltype","yugene",NA,NA,NA,NA,NA,"Keratinocyte",0.636206482593037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"within_one_celltype","yugene",NA,NA,NA,NA,NA,"Melanocyte",0.790572228891557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pca_variance","yugene",NA,NA,NA,NA,NA,NA,NA,0.602570989582673,0.785314382525209,0.865749249578272,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pc_scores_by_celltype","yugene",NA,NA,NA,NA,NA,"Fibroblast",NA,NA,NA,NA,NA,-0.957529181984053,2.5466079470254,1.07010583190687,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pc_scores_by_celltype","yugene",NA,NA,NA,NA,NA,"Keratinocyte",NA,NA,NA,NA,NA,-4.24312460542483,-1.52753159920308,-0.806192117060742,NA,NA,NA,NA,NA,NA,NA,NA,NA
