"condition_1","condition_2","model","median_diff_1_minus_2","p","p.adj"
"Proliferating","SIPS","yugene_diff",-29.9153101413466,5.96255491420282e-14,1.78876647426085e-12
"Proliferating","OIS","yugene_diff",-23.4457417180042,1.27923954178557e-11,1.91885931267836e-10
"Proliferating","SIPS","scaled_diff",-54.3137881151094,3.56916298632259e-07,3.56916298632259e-06
"Proliferating","OIS","scaled_diff",-27.8408500021464,1.4542600685803e-06,1.09069505143523e-05
"Proliferating","RS","yugene_diff",-23.4026632992927,2.99219358211809e-06,1.79531614927086e-05
"SSCQ","SIPS","yugene_diff",-21.6697894624824,1.13435783191164e-05,5.67178915955819e-05
"Proliferating","CICQ","scaled_diff",-47.6381527493836,3.19262743544849e-05,0.00013682689009065
"Proliferating","CICQ","yugene_diff",-22.0526646842752,4.34908867553895e-05,0.000163090825332711
"SSCQ","RS","yugene_diff",-15.1571426204285,0.000691031655388187,0.00207309496616456
"SSCQ","OIS","yugene_diff",-15.20022103914,0.000675325550590703,0.00207309496616456
"Proliferating","RS","scaled_diff",-31.2086999159849,0.0029052981325113,0.00792354036139444
"Proliferating","SSCQ","yugene_diff",-8.24552067886422,0.00770356896966486,0.0192589224241621
"SSCQ","SIPS","scaled_diff",-32.5760023278193,0.014439008320913,0.0333207884328762
"CICQ","SSCQ","scaled_diff",25.9003669620935,0.0225659189425457,0.0483555405911694
"CICQ","SSCQ","yugene_diff",13.8071440054109,0.0418451065445782,0.0836902130891564
"SSCQ","OIS","scaled_diff",-6.10306421485632,0.0616961041581316,0.115680195296497
"CICQ","SIPS","yugene_diff",-7.86264545707147,0.0761430044854273,0.13437000791546
"SSCQ","RS","scaled_diff",-9.47091412869478,0.113992838154951,0.189988063591584
"SIPS","OIS","scaled_diff",26.4729381129629,0.136947971790544,0.216233639669279
"Proliferating","SSCQ","scaled_diff",-21.7377857872901,0.205755366900604,0.308633050350906
"RS","SIPS","yugene_diff",-6.51264684205395,0.226836385759596,0.309322344217631
"SIPS","OIS","yugene_diff",6.46956842334244,0.22515608691627,0.309322344217631
"RS","SIPS","scaled_diff",-23.1050881991245,0.318715050339218,0.415715283051154
"CICQ","OIS","scaled_diff",19.7973027472372,0.372735866798985,0.465919833498731
"CICQ","OIS","yugene_diff",-1.39307703372904,0.512001134650906,0.614401361581087
"CICQ","RS","yugene_diff",-1.34999861501752,0.641194311269274,0.713290152779098
"CICQ","SIPS","scaled_diff",-6.67563536572577,0.645584855226259,0.713290152779098
"RS","OIS","scaled_diff",3.36784991383846,0.665737475927158,0.713290152779098
"CICQ","RS","scaled_diff",16.4294528333987,0.703095485224421,0.727340157128711
"RS","OIS","yugene_diff",-0.0430784187115165,0.931205723227683,0.931205723227683
