"cell_type","timepoint_1","timepoint_2","model","median_diff_1_minus_2","p","p.adj"
"Fibroblast","none","4_days","yugene_diff",-14.8693912442226,0.00216450216450216,0.00410116199589884
"Fibroblast","none","10_days","scaled_diff",-19.5107890251836,0.00216450216450216,0.00410116199589884
"Fibroblast","none","10_days","yugene_diff",-26.277707732047,0.00216450216450216,0.00410116199589884
"Fibroblast","none","20_days","scaled_diff",-20.5803091111415,0.00216450216450216,0.00410116199589884
"Fibroblast","none","20_days","yugene_diff",-30.3683180464356,0.00216450216450216,0.00410116199589884
"Fibroblast","4_days","20_days","yugene_diff",-15.4989268022129,0.00216450216450216,0.00410116199589884
"Keratinocyte","none","4_days","yugene_diff",-19.0319146370739,0.00216450216450216,0.00410116199589884
"Keratinocyte","none","10_days","scaled_diff",-18.678816486893,0.00216450216450216,0.00410116199589884
"Keratinocyte","none","10_days","yugene_diff",-24.5707338392623,0.00216450216450216,0.00410116199589884
"Keratinocyte","none","20_days","yugene_diff",-8.70095599229406,0.00216450216450216,0.00410116199589884
"Keratinocyte","10_days","20_days","yugene_diff",15.8697778469683,0.00216450216450216,0.00410116199589884
"Melanocyte","none","4_days","scaled_diff",-17.7061936279921,0.00216450216450216,0.00410116199589884
"Melanocyte","none","4_days","yugene_diff",-31.2117337551016,0.00216450216450216,0.00410116199589884
"Melanocyte","none","10_days","yugene_diff",-16.55490858537,0.00216450216450216,0.00410116199589884
"Melanocyte","none","20_days","scaled_diff",-13.3584523911365,0.00216450216450216,0.00410116199589884
"Melanocyte","none","20_days","yugene_diff",-19.545274194343,0.00216450216450216,0.00410116199589884
"Melanocyte","4_days","10_days","scaled_diff",7.40683591663598,0.00216450216450216,0.00410116199589884
"Melanocyte","4_days","10_days","yugene_diff",14.6568251697316,0.00216450216450216,0.00410116199589884
"Melanocyte","4_days","20_days","yugene_diff",11.6664595607586,0.00216450216450216,0.00410116199589884
"Fibroblast","4_days","20_days","scaled_diff",-9.29234971849735,0.00432900432900433,0.00742115027829313
"Melanocyte","10_days","20_days","scaled_diff",-3.05909467978038,0.00432900432900433,0.00742115027829313
"Fibroblast","none","4_days","scaled_diff",-11.2879593926442,0.00865800865800866,0.0141676505312869
"Melanocyte","none","10_days","scaled_diff",-10.2993577113561,0.025974025974026,0.038961038961039
"Melanocyte","4_days","20_days","scaled_diff",4.3477412368556,0.025974025974026,0.038961038961039
"Keratinocyte","4_days","20_days","yugene_diff",10.3309586447799,0.0411255411255411,0.0592207792207792
"Fibroblast","4_days","10_days","yugene_diff",-11.4083164878243,0.0649350649350649,0.0834879406307978
"Keratinocyte","10_days","20_days","scaled_diff",10.6257277525035,0.0649350649350649,0.0834879406307978
"Melanocyte","10_days","20_days","yugene_diff",-2.990365608973,0.0649350649350649,0.0834879406307978
"Keratinocyte","none","4_days","scaled_diff",-13.6883091546253,0.132034632034632,0.163905060456785
"Fibroblast","4_days","10_days","scaled_diff",-8.22282963253945,0.17965367965368,0.20211038961039
"Keratinocyte","none","20_days","scaled_diff",-8.05308873438949,0.17965367965368,0.20211038961039
"Keratinocyte","4_days","10_days","yugene_diff",-5.5388192021884,0.17965367965368,0.20211038961039
"Keratinocyte","4_days","10_days","scaled_diff",-4.9905073322677,0.24025974025974,0.262101534828808
"Keratinocyte","4_days","20_days","scaled_diff",5.6352204202358,0.699134199134199,0.74025974025974
"Fibroblast","10_days","20_days","scaled_diff",-1.0695200859579,1,1
"Fibroblast","10_days","20_days","yugene_diff",-4.0906103143886,1,1
