"cell_type","time_after_treatment","n","scaled_diff_median","scaled_diff_sd","yugene_diff_median","yugene_diff_sd"
"Fibroblast","none",6,0.158233434592952,2.70830202135354,0.674971557032315,2.97746696812958
"Fibroblast","4_days",6,11.4461928272371,5.55078365305331,15.5443628012549,3.68796803131923
"Fibroblast","10_days",6,19.6690224597766,8.18317217720706,26.9526792890793,8.30801988239967
"Fibroblast","20_days",6,20.7385425457345,2.27455229542409,31.0432896034679,0.754017872284685
"Keratinocyte","none",6,4.20319689981432,13.6781995875201,0.774967537869034,3.06229645380258
"Keratinocyte","4_days",6,17.8915060544396,11.0699007601188,19.8068821749429,6.44537314465483
"Keratinocyte","10_days",6,22.8820133867073,6.08490794615808,25.3457013771313,5.29845350896781
"Keratinocyte","20_days",6,12.2562856342038,9.26794355923072,9.47592353016309,2.81543184758409
"Melanocyte","none",6,-1.98981822051036,4.20469364080911,0.439843956594429,1.81988554196974
"Melanocyte","4_days",6,15.7163754074818,1.3455901892452,31.6515777116961,0.799326714193749
"Melanocyte","10_days",6,8.30953949084576,4.6998139139541,16.9947525419644,3.0031698472165
"Melanocyte","20_days",6,11.3686341706261,2.19165315400571,19.9851181509374,2.63946311691116
