"cell_type","timepoint","model","p","p.adj"
"Fibroblast","4_days","scaled_diff",0.00865800865800866,0.0103896103896104
"Fibroblast","4_days","yugene_diff",0.00216450216450216,0.00278293135435993
"Fibroblast","10_days","scaled_diff",0.00216450216450216,0.00278293135435993
"Fibroblast","10_days","yugene_diff",0.00216450216450216,0.00278293135435993
"Fibroblast","20_days","scaled_diff",0.00216450216450216,0.00278293135435993
"Fibroblast","20_days","yugene_diff",0.00216450216450216,0.00278293135435993
"Keratinocyte","4_days","scaled_diff",0.132034632034632,0.139801375095493
"Keratinocyte","4_days","yugene_diff",0.00216450216450216,0.00278293135435993
"Keratinocyte","10_days","scaled_diff",0.00216450216450216,0.00278293135435993
"Keratinocyte","10_days","yugene_diff",0.00216450216450216,0.00278293135435993
"Keratinocyte","20_days","scaled_diff",0.17965367965368,0.17965367965368
"Keratinocyte","20_days","yugene_diff",0.00216450216450216,0.00278293135435993
"Melanocyte","4_days","scaled_diff",0.00216450216450216,0.00278293135435993
"Melanocyte","4_days","yugene_diff",0.00216450216450216,0.00278293135435993
"Melanocyte","10_days","scaled_diff",0.025974025974026,0.0292207792207792
"Melanocyte","10_days","yugene_diff",0.00216450216450216,0.00278293135435993
"Melanocyte","20_days","scaled_diff",0.00216450216450216,0.00278293135435993
"Melanocyte","20_days","yugene_diff",0.00216450216450216,0.00278293135435993
