"condition","model","p","p.adj"
"CICQ","scaled_diff",3.19262743544435e-05,5.32104572574058e-05
"CICQ","yugene_diff",4.34908867554817e-05,6.21298382221168e-05
"SSCQ","scaled_diff",0.205755366900604,0.205755366900604
"SSCQ","yugene_diff",0.00770356896966495,0.0085595210774055
"RS","scaled_diff",0.00290529813251128,0.0036316226656391
"RS","yugene_diff",2.99219358201874e-06,5.98438716403749e-06
"SIPS","scaled_diff",3.56916298738241e-07,1.18972099579414e-06
"SIPS","yugene_diff",5.97299987248334e-14,5.97299987248334e-13
"OIS","scaled_diff",1.45426006858962e-06,3.63565017147405e-06
"OIS","yugene_diff",1.27924337789409e-11,6.39621688947045e-11
