condition,pathway,n_measured_genes,set_net,set_sum_positive,set_sum_negative,cancellation_ratio,frac_genes_with_set_net
CICQ,HALLMARK ADIPOGENESIS,136,0.019331983376743835,0.11951213241081401,-0.10018014903407017,11.364187376095698,0.5294117647058824
CICQ,HALLMARK ALLOGRAFT REJECTION,79,0.04614578995217632,0.11871649877562025,-0.07257070882344394,4.1452797275180835,0.5316455696202531
CICQ,HALLMARK ANDROGEN RESPONSE,71,-0.02508916076345898,0.044673903362074226,-0.06976306412553321,4.561211455676857,0.4788732394366197
CICQ,HALLMARK ANGIOGENESIS,27,0.01039565425662317,0.05230826088635611,-0.041912606629732944,9.063486067368972,0.5925925925925926
CICQ,HALLMARK APICAL JUNCTION,129,0.044385809116777294,0.12326817234171973,-0.07888236322494241,4.5543956410665425,0.4806201550387597
CICQ,HALLMARK APICAL SURFACE,24,0.009219463528315213,0.02590517730354785,-0.016685713775232643,4.619671301694889,0.4583333333333333
CICQ,HALLMARK APOPTOSIS,112,0.01099452604648415,0.12887631411278744,-0.11788178806630326,22.443723461640207,0.49107142857142855
CICQ,HALLMARK BILE ACID METABOLISM,63,-0.002075563288374745,0.057074775386771685,-0.05915033867514643,55.99690200385427,0.49206349206349204
CICQ,HALLMARK CHOLESTEROL HOMEOSTASIS,56,-0.0004057048496580286,0.07886792432120174,-0.07927362917085978,389.79458496825987,0.5
CICQ,HALLMARK COAGULATION,65,0.07128806408691275,0.13545157783052583,-0.06416351374361308,2.800119404712307,0.6461538461538462
CICQ,HALLMARK COMPLEMENT,104,0.0668472767897596,0.1653816259655214,-0.09853434917576179,3.9480437770310597,0.5096153846153846
CICQ,HALLMARK DNA REPAIR,93,-0.0035011537458163994,0.053523962170179816,-0.05702511591599621,31.575042432304894,0.41935483870967744
CICQ,HALLMARK E2F TARGETS,136,0.031070317376900105,0.17220038920395442,-0.1411300718270543,10.084559395713189,0.4485294117647059
CICQ,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,153,-0.14799100405805027,0.18663068415321749,-0.3346216882112678,3.5221895795775615,0.5163398692810458
CICQ,HALLMARK ESTROGEN RESPONSE EARLY,137,0.0012883274178907686,0.14791321757263773,-0.14662489015474697,228.62053825540585,0.5109489051094891
CICQ,HALLMARK ESTROGEN RESPONSE LATE,131,0.028946219398015796,0.15631310980186458,-0.1273668904038488,9.800243558755001,0.5190839694656488
CICQ,HALLMARK FATTY ACID METABOLISM,94,-0.006366046669117028,0.055213566548456446,-0.06157961321757348,18.34626508985822,0.46808510638297873
CICQ,HALLMARK G2M CHECKPOINT,142,-0.061620227938100965,0.1290690562726649,-0.1906892842107659,5.189178151120049,0.5211267605633803
CICQ,HALLMARK GLYCOLYSIS,126,0.033954535778827635,0.12413754590880656,-0.09018301012997894,6.311986046130107,0.5634920634920635
CICQ,HALLMARK HEDGEHOG SIGNALING,27,-0.029191667541111847,0.009366214460312043,-0.038557882001423884,1.641704654050421,0.5925925925925926
CICQ,HALLMARK HEME METABOLISM,130,0.016365792883788068,0.09321474110486,-0.07684894822107192,10.391411557847391,0.5384615384615384
CICQ,HALLMARK HYPOXIA,130,0.08301963898599654,0.20917994828474398,-0.12616030929874747,4.039288313938049,0.5384615384615384
CICQ,HALLMARK IL2 STAT5 SIGNALING,126,0.047338778468239966,0.14744389293074167,-0.10010511446250173,5.229307037555402,0.5555555555555556
CICQ,HALLMARK IL6 JAK STAT3 SIGNALING,46,0.007932975186736116,0.0410237281950374,-0.033090753008301284,9.342583262740773,0.5217391304347826
CICQ,HALLMARK INFLAMMATORY RESPONSE,113,0.10239562425333877,0.19278659419670555,-0.09039096994336678,2.765524075906387,0.5398230088495575
CICQ,HALLMARK INTERFERON ALPHA RESPONSE,65,-0.0245275343221838,0.06398336502580974,-0.08851089934799353,6.217268412336115,0.5538461538461539
CICQ,HALLMARK INTERFERON GAMMA RESPONSE,115,-0.00763446432765095,0.11680854948972971,-0.12444301381738063,31.600326225028166,0.5304347826086957
CICQ,HALLMARK KRAS SIGNALING DN,69,-0.004902649764054926,0.08368088519519648,-0.08858353495925142,35.13700314010804,0.5652173913043478
CICQ,HALLMARK KRAS SIGNALING UP,123,0.1109166457254229,0.2978744775227216,-0.18695783179729872,4.371141104647498,0.4715447154471545
CICQ,HALLMARK MITOTIC SPINDLE,159,-0.020942454406058145,0.10787847330461242,-0.12882092771067055,11.30237155711852,0.5345911949685535
