arm,pathway,n_groups,n_hit,p_recurrence,expected_among_50_sets
cross_sectional,HALLMARK COAGULATION,5,4,3.0000000000000008e-05,0.0015000000000000005
cross_sectional,HALLMARK E2F TARGETS,5,4,3.0000000000000008e-05,0.0015000000000000005
cross_sectional,HALLMARK G2M CHECKPOINT,5,3,0.001158125,0.057906250000000006
cross_sectional,HALLMARK MYC TARGETS,5,3,0.001158125,0.057906250000000006
cross_sectional,HALLMARK KRAS SIGNALING UP,5,3,0.001158125,0.057906250000000006
cross_sectional,HALLMARK MYOGENESIS,5,3,0.001158125,0.057906250000000006
cross_sectional,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,5,2,0.022592499999999995,1.1296249999999997
cross_sectional,HALLMARK INTERFERON ALPHA RESPONSE,5,2,0.022592499999999995,1.1296249999999997
cross_sectional,HALLMARK HYPOXIA,5,2,0.022592499999999995,1.1296249999999997
cross_sectional,HALLMARK P53 PATHWAY,5,2,0.022592499999999995,1.1296249999999997
cross_sectional,Lysosomal Genes,5,2,0.022592499999999995,1.1296249999999997
cross_sectional,HALLMARK PI3K AKT MTOR SIGNALING,5,2,0.022592499999999995,1.1296249999999997
cross_sectional,HALLMARK IL6 JAK STAT3 SIGNALING,5,2,0.022592499999999995,1.1296249999999997
cross_sectional,HALLMARK HEDGEHOG SIGNALING,5,1,0.2262190625,11.310953125000001
cross_sectional,HALLMARK INFLAMMATORY RESPONSE,5,1,0.2262190625,11.310953125000001
cross_sectional,HALLMARK ANDROGEN RESPONSE,5,1,0.2262190625,11.310953125000001
cross_sectional,HALLMARK ANGIOGENESIS,5,1,0.2262190625,11.310953125000001
cross_sectional,HALLMARK COMPLEMENT,5,1,0.2262190625,11.310953125000001
cross_sectional,HALLMARK MTORC1 SIGNALING,5,1,0.2262190625,11.310953125000001
temporal,HALLMARK HYPOXIA,9,7,2.5718750000000003e-08,1.2859375000000001e-06
temporal,HALLMARK P53 PATHWAY,9,6,1.1510234375e-06,5.7551171875e-05
temporal,HALLMARK MYC TARGETS,9,5,3.3222207031249994e-05,0.0016611103515624997
temporal,HALLMARK PI3K AKT MTOR SIGNALING,9,4,0.0006425746953124999,0.03212873476562499
temporal,HALLMARK E2F TARGETS,9,4,0.0006425746953124999,0.03212873476562499
temporal,HALLMARK MTORC1 SIGNALING,9,4,0.0006425746953124999,0.03212873476562499
temporal,HALLMARK ANDROGEN RESPONSE,9,3,0.008361039546874997,0.4180519773437499
temporal,HALLMARK ANGIOGENESIS,9,3,0.008361039546874997,0.4180519773437499
temporal,HALLMARK INTERFERON ALPHA RESPONSE,9,3,0.008361039546874997,0.4180519773437499
temporal,HALLMARK ADIPOGENESIS,9,3,0.008361039546874997,0.4180519773437499
temporal,HALLMARK IL6 JAK STAT3 SIGNALING,9,3,0.008361039546874997,0.4180519773437499
temporal,HALLMARK APOPTOSIS,9,3,0.008361039546874997,0.4180519773437499
temporal,HALLMARK KRAS SIGNALING DN,9,3,0.008361039546874997,0.4180519773437499
temporal,HALLMARK ESTROGEN RESPONSE LATE,9,2,0.07121139619531247,3.5605698097656235
temporal,HALLMARK COAGULATION,9,2,0.07121139619531247,3.5605698097656235
temporal,HALLMARK GLYCOLYSIS,9,2,0.07121139619531247,3.5605698097656235
temporal,HALLMARK HEDGEHOG SIGNALING,9,2,0.07121139619531247,3.5605698097656235
temporal,HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,9,2,0.07121139619531247,3.5605698097656235
temporal,HALLMARK KRAS SIGNALING UP,9,2,0.07121139619531247,3.5605698097656235
temporal,HALLMARK TNFA SIGNALING VIA NFKB,9,2,0.07121139619531247,3.5605698097656235
temporal,HALLMARK COMPLEMENT,9,2,0.07121139619531247,3.5605698097656235
temporal,HALLMARK MYOGENESIS,9,2,0.07121139619531247,3.5605698097656235
temporal,HALLMARK G2M CHECKPOINT,9,1,0.36975059027539064,18.487529513769534
temporal,HALLMARK PANCREAS BETA CELLS,9,1,0.36975059027539064,18.487529513769534
temporal,HALLMARK ESTROGEN RESPONSE EARLY,9,1,0.36975059027539064,18.487529513769534
temporal,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,9,1,0.36975059027539064,18.487529513769534
temporal,HALLMARK UV RESPONSE UP,9,1,0.36975059027539064,18.487529513769534
